"field_id","domain","disposition","formal_record_ids","source_map_decisions","rationale"
"FIELD-NUM-OPERAND-A","numerics","value","FACT-M2NA-AMPERE-BF16-A|FACT-M2NA-AMPERE-FP16-A|FACT-M2NA-AMPERE-FP64-A|FACT-M2NA-AMPERE-INT-A|FACT-M2NA-AMPERE-TF32-A|FACT-R1-GA100-AMPERE-BINARY-A|FACT-R1-GA100-AMPERE-FP16-ACC16-A|FACT-R1-GA100-AMPERE-INT4-A|FACT-R1-GA100-FP16-A|REQ-M2NA-AVAIL-0008|REQ-M2NA-AVAIL-0011|REQ-M2NA-AVAIL-0013|REQ-M2NA-AVAIL-0015|REQ-M2NA-AVAIL-0016|REQ-R1-GA100-AMPERE-BINARY-A|REQ-R1-GA100-AMPERE-FP16-ACC16-A|REQ-R1-GA100-AMPERE-INT4-A|REQ-R1-GA100-FP16-A","formal_fact_or_targeted_requirement","Complete the formal repair and split INT8, INT4 and Binary."
"FIELD-NUM-OPERAND-B","numerics","value","FACT-M2NA-AMPERE-FP16-B|FACT-R1-GA100-AMPERE-BF16-B|FACT-R1-GA100-AMPERE-BINARY-B|FACT-R1-GA100-AMPERE-FP16-ACC16-B|FACT-R1-GA100-AMPERE-FP64-B|FACT-R1-GA100-AMPERE-INT4-B|FACT-R1-GA100-AMPERE-INT8-B|FACT-R1-GA100-AMPERE-TF32-B|FACT-R1-GA100-FP16-B|REQ-M2NA-AVAIL-0009|REQ-R1-GA100-AMPERE-BF16-B|REQ-R1-GA100-AMPERE-BINARY-B|REQ-R1-GA100-AMPERE-FP16-ACC16-B|REQ-R1-GA100-AMPERE-FP64-B|REQ-R1-GA100-AMPERE-INT4-B|REQ-R1-GA100-AMPERE-INT8-B|REQ-R1-GA100-AMPERE-TF32-B|REQ-R1-GA100-FP16-B","formal_fact_or_targeted_requirement","Missing B facts must be added on architecture precision paths, not the die object."
"FIELD-NUM-OUTPUT","numerics","conditional","FACT-R1-GA100-AMPERE-TF32-OUTPUT|REQ-R1-GA100-AMPERE-TF32-OUTPUT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-OUTPUT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-OUTPUT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-OUTPUT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-OUTPUT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-OUTPUT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-OUTPUT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-OUTPUT|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-OUTPUT","formal_fact_or_targeted_requirement","Do not infer output format from the accumulator column when the source does not say so."
"FIELD-NUM-PHYSICAL-ACCUM","numerics","not_found","REQ-M2NA-GAP-0059|REQ-M2NA-GAP-0060|REQ-M2NA-GAP-0061|REQ-M2NA-GAP-0062|REQ-M2NA-GAP-0063|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-PHYSICAL-ACCUM|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-PHYSICAL-ACCUM|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-PHYSICAL-ACCUM|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-PHYSICAL-ACCUM","formal_fact_or_targeted_requirement","Programmer-visible accumulator types and SASS mnemonics do not disclose physical width."
"FIELD-NUM-PRODUCT","numerics","not_found","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-PRODUCT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-PRODUCT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-PRODUCT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-PRODUCT|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-PRODUCT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-PRODUCT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-PRODUCT|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-PRODUCT|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-PRODUCT","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-PRODUCT with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-ROUNDING","numerics","not_found","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-ROUNDING|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-ROUNDING|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-ROUNDING|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-ROUNDING|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-ROUNDING|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-ROUNDING|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-ROUNDING|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-ROUNDING|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-ROUNDING","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-ROUNDING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-SATURATION","numerics","not_found","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SATURATION|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SATURATION|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SATURATION|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SATURATION|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SATURATION|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SATURATION|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SATURATION|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SATURATION|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-SATURATION","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-SATURATION with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-SCALING-GRANULARITY","numerics","not_found","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SCALING-GRANULARITY|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SCALING-GRANULARITY|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SCALING-GRANULARITY|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SCALING-GRANULARITY|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SCALING-GRANULARITY|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SCALING-GRANULARITY|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SCALING-GRANULARITY|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SCALING-GRANULARITY|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-SCALING-GRANULARITY","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-SCALING-GRANULARITY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-SCALING-MODE","numerics","not_found","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SCALING-MODE|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SCALING-MODE|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SCALING-MODE|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SCALING-MODE|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SCALING-MODE|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SCALING-MODE|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SCALING-MODE|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SCALING-MODE|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-SCALING-MODE","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-SCALING-MODE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-NUM-SPARSITY","numerics","conditional","FACT-R1-GA100-AMPERE-SPARSE-BF16|FACT-R1-GA100-AMPERE-SPARSE-FP16|FACT-R1-GA100-AMPERE-SPARSE-INT4|FACT-R1-GA100-AMPERE-SPARSE-INT8|FACT-R1-GA100-AMPERE-SPARSE-TF32|FACT-R1-GA100-FP16-DENSE-SPARSITY|REQ-R1-GA100-AMPERE-SPARSE-BF16|REQ-R1-GA100-AMPERE-SPARSE-FP16|REQ-R1-GA100-AMPERE-SPARSE-INT4|REQ-R1-GA100-AMPERE-SPARSE-INT8|REQ-R1-GA100-AMPERE-SPARSE-TF32|REQ-R1-GA100-FP16-DENSE-SPARSITY|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SPARSITY|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SPARSITY|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SPARSITY","formal_fact_or_targeted_requirement","Use the registered enum and keep the pattern in the condition. Do not claim runtime pruning."
"FIELD-NUM-SUBNORMAL","numerics","conditional","REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-BF16-SUBNORMAL|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP16-SUBNORMAL|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-FP64-SUBNORMAL|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-INT8-SUBNORMAL|REQ-R1-GA100-PATH-M2NA-AMPERE-TENSOR-TF32-SUBNORMAL|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-BINARY-SUBNORMAL|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-FP16-ACC16-SUBNORMAL|REQ-R1-GA100-PATH-R1-GA100-AMPERE-TENSOR-INT4-SUBNORMAL|REQ-R1-GA100-PATH-R1-GA100-TENSOR-FP16-DENSE-SUBNORMAL","formal_fact_or_targeted_requirement","v2 closes FIELD-NUM-SUBNORMAL with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-PHY-CLOCK","physical","not_found","REQ-R1-GA100-PHY-CLOCK","formal_fact_or_targeted_requirement","A100 1.41 GHz boost is a product-performance condition, not a full-design die clock."
"FIELD-PHY-COOLING","physical","not_applicable","REQ-R1-GA100-PHY-COOLING","formal_fact_or_targeted_requirement","Cooling is specified for cards, modules and systems."
"FIELD-PHY-DIE-AREA","physical","value","FACT-R1-GA100-PHY-AREA|REQ-R1-GA100-PHY-AREA","formal_fact_or_targeted_requirement","Whitepaper direct GA100 wording and ISSCC A100-die identity chain agree."
"FIELD-PHY-DIE-COUNT","physical","pending","REQ-M2NA-GAP-0003|REQ-R1-GA100-PHY-DIE-COUNT","formal_fact_or_targeted_requirement","Die photo and naming suggest a monolithic die but a direct atomic count statement has not been frozen."
"FIELD-PHY-FORM-FACTOR","physical","not_applicable","REQ-R1-GA100-PHY-FORM-FACTOR","formal_fact_or_targeted_requirement","SXM4 and PCIe are module/card forms."
"FIELD-PHY-FOUNDRY","physical","value","FACT-R1-GA100-PHY-FOUNDRY|REQ-R1-GA100-PHY-FOUNDRY","formal_fact_or_targeted_requirement","Direct first-party physical-implementation evidence."
"FIELD-PHY-HBM-INTERFACE","physical","pending","REQ-R1-GA100-PHY-HBM-INTERFACE","formal_fact_or_targeted_requirement","Twelve 512-bit memory controllers may be recorded as components, do not silently derive a 6144-bit total for this field."
"FIELD-PHY-HBM-STACKS","physical","not_applicable","REQ-R1-GA100-PHY-HBM-STACKS","formal_fact_or_targeted_requirement","Full-GA100 six HBM sites/stacks and A100 five active stacks are not die-contained memory."
"FIELD-PHY-INTERPOSER","physical","not_applicable","REQ-R1-GA100-PHY-INTERPOSER","formal_fact_or_targeted_requirement","Interposer or substrate belongs to package/module modeling."
"FIELD-PHY-PACKAGE","physical","not_applicable","REQ-M2NA-GAP-0004|REQ-R1-GA100-PHY-PACKAGE","formal_fact_or_targeted_requirement","Package style is not a property of the frozen bare-die object."
"FIELD-PHY-POWER","physical","not_found","REQ-R1-GA100-PHY-POWER","formal_fact_or_targeted_requirement","A100 250/300/400 W values are card/module power."
"FIELD-PHY-PROCESS","physical","value","FACT-R1-GA100-PHY-PROCESS|REQ-M2NA-GAP-0002|REQ-R1-GA100-PHY-PROCESS","formal_fact_or_targeted_requirement","Use the original N7 label and keep foundry in its own field."
"FIELD-PHY-TRANSISTORS","physical","value","FACT-R1-GA100-PHY-TRANSISTORS|REQ-R1-GA100-PHY-TRANSISTORS","formal_fact_or_targeted_requirement","ISSCC 54B is a rounded assertion, not a separate conflict."
"FIELD-RAS-CAPABILITY","reliability","value","FACT-R1-GA100-RAS-DPO|REQ-R1-GA100-RAS-DPO","formal_fact_or_targeted_requirement","Split mechanisms and conditions instead of storing a generic supports-RAS sentence."
"FIELD-RAS-CHECKPOINT-RESTART","reliability","pending","REQ-R1-GA100-RAS-CKPT","formal_fact_or_targeted_requirement","The 2020 MIG Migration description does not prove delivered general checkpoint/restart or live migration."
"FIELD-RAS-CORRECTION-REPLAY","reliability","value","FACT-R1-GA100-RAS-ROW-REMAP|REQ-R1-GA100-RAS-ROW-REMAP","formal_fact_or_targeted_requirement","Link packet replay must not become compute replay or job restart. | Do not describe row remapping as a pure on-die autonomous repair."
"FIELD-RAS-ECC","reliability","pending","REQ-R1-GA100-V2-RAS-ECC","formal_fact_or_targeted_requirement","v2 closes FIELD-RAS-ECC with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-RAS-ERROR-DETECTION","reliability","value","FACT-R1-GA100-RAS-DETECTION|REQ-R1-GA100-RAS-DETECTION","formal_fact_or_targeted_requirement","ISSCC no-FEC BER is PHY context, not the detector mechanism itself. | The public document does not disclose detector circuit, page size or firmware division."
"FIELD-RAS-FAULT-ISOLATION","reliability","value","FACT-R1-GA100-RAS-CONTAINMENT|REQ-R1-GA100-RAS-CONTAINMENT","formal_fact_or_targeted_requirement","Keep the uncontained-error exception so containment is not stated as absolute. | Do not claim complete CI isolation or a quantitative error-coverage guarantee."
"FIELD-RAS-PROTECTION-SCOPE","reliability","pending","REQ-R1-GA100-V2-RAS-PROTECTION-SCOPE","formal_fact_or_targeted_requirement","v2 closes FIELD-RAS-PROTECTION-SCOPE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-RAS-RECOVERY","reliability","conditional","FACT-R1-GA100-RAS-RECOVERY|REQ-R1-GA100-RAS-RECOVERY","formal_fact_or_targeted_requirement","Store the process chain and the conditions rather than independent unconditional die capabilities."
"FIELD-RAS-SILENT-DATA-ERROR","reliability","not_found","REQ-R1-GA100-RAS-SDE","formal_fact_or_targeted_requirement","Memory ECC and link replay do not establish Tensor/CUDA Core silent-error coverage."
"FIELD-RAS-TELEMETRY-BIST","reliability","conditional","REQ-R1-GA100-RAS-BIST","formal_fact_or_targeted_requirement","Telemetry is documented, counter meanings and interface versions must be retained. | Field Diagnostic and RMA policy do not prove die-internal BIST."
"FIELD-REL-QUANTITY","relationship","not_applicable","REQ-R1-GA100-REL-QUANTITY","formal_fact_or_targeted_requirement","Do not create quantity=1 merely because one architecture relation is currently modeled."
"FIELD-SW-CHIP-BOUND-SCHEDULING","software","pending","REQ-R1-GA100-V2-SW-CHIP-BOUND-SCHEDULING","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-CHIP-BOUND-SCHEDULING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-COMMUNICATION-LIBRARY","software","pending","REQ-R1-GA100-V2-SW-COMMUNICATION-LIBRARY","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-COMMUNICATION-LIBRARY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-COMPILER","software","pending","REQ-R1-GA100-V2-SW-COMPILER","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-COMPILER with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-CUSTOM-OPERATOR","software","not_found","REQ-R1-GA100-V2-SW-CUSTOM-OPERATOR","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-CUSTOM-OPERATOR with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-DYNAMIC-SHAPE","software","not_found","REQ-R1-GA100-V2-SW-DYNAMIC-SHAPE","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-DYNAMIC-SHAPE with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-FRAMEWORK","software","pending","REQ-R1-GA100-V2-SW-FRAMEWORK","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-FRAMEWORK with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-OPERATOR-LIBRARY","software","pending","REQ-R1-GA100-V2-SW-OPERATOR-LIBRARY","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-OPERATOR-LIBRARY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-PROGRAMMING-MODEL","software","value","FACT-M2NA-AMPERE-SW|REQ-M2NA-AVAIL-0021","formal_fact_or_targeted_requirement","Keep the hardware target, software version and support maturity separate. | Do not accept CUDA 8.0, a suspected Compute Capability 8.0 typo remains an inference."
"FIELD-SW-QUANTIZATION-TOOL","software","not_found","REQ-R1-GA100-V2-SW-QUANTIZATION-TOOL","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-QUANTIZATION-TOOL with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-RUNTIME","software","pending","REQ-R1-GA100-V2-SW-RUNTIME","formal_fact_or_targeted_requirement","v2 closes FIELD-SW-RUNTIME with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-SW-SUPPORT-MATURITY","software","conditional","FACT-R1-GA100-AMPERE-SW-MATURITY|REQ-R1-GA100-AMPERE-SW-MATURITY","formal_fact_or_targeted_requirement","Do not promote interface documentation to runnable_verified or benchmarked."
"FIELD-VIRT-MULTI-TENANCY","virtualization","pending","REQ-R1-GA100-V2-VIRT-MULTI-TENANCY","formal_fact_or_targeted_requirement","v2 closes FIELD-VIRT-MULTI-TENANCY with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-VIRT-PARTITIONING","virtualization","pending","REQ-R1-GA100-V2-VIRT-PARTITIONING","formal_fact_or_targeted_requirement","v2 closes FIELD-VIRT-PARTITIONING with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
"FIELD-VIRT-PREEMPTION-QOS","virtualization","pending","REQ-R1-GA100-V2-VIRT-PREEMPTION-QOS","formal_fact_or_targeted_requirement","v2 closes FIELD-VIRT-PREEMPTION-QOS with a legal fact or targeted requirement on a real formal entity; no auxiliary-only state remains."
