"fact_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","normalized_value_text","normalized_value_number","normalized_unit","condition_set_id","fact_kind","evidence_state","resolution_state","valid_from","valid_to","confidence","confidence_reason","fact_fingerprint","review_status","notes"
"FACT-M2NA-AMPERE-ASYNC-EXEC","","COMP-M2NA-AMPERE-ASYNC-COPY","","","","","","FIELD-MEM-DMA","Asynchronous global-memory-to-shared-memory copy without register-file staging.","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Whitepaper mechanism statement qualified by the PTX sm_80 instruction boundary.","component|COMP-M2NA-AMPERE-ASYNC-COPY|FIELD-MEM-DMA|Asynchronous global-memory-to-shared-memory copy without register-file staging.|||COND-NONE","draft","The barrier is modeled separately. This does not assert a standalone DMA engine, queue depth, throughput, or latency. Modified lifecycle remains draft until formal merge review and hard gates."
"FACT-R1-GA100-COMP-NAME-TENSOR","","COMP-R1-GA100-TENSOR","","","","","","FIELD-COMP-UNIT-NAME","GA100 third-generation Tensor Core","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TENSOR|FIELD-COMP-UNIT-NAME|GA100 third-generation Tensor Core|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-TPC","","COMP-R1-GA100-TPC","","","","","","FIELD-COMP-UNIT-NAME","GA100 Texture Processing Cluster","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-TPC|FIELD-COMP-UNIT-NAME|GA100 Texture Processing Cluster|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-COMP-NAME-VIDEO-DECODE","","COMP-R1-GA100-VIDEO-DECODE","","","","","","FIELD-COMP-UNIT-NAME","GA100 hardware video decoder","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-VIDEO-DECODE|FIELD-COMP-UNIT-NAME|GA100 hardware video decoder|||COND-R1-GA100-FULL-DIE","draft","Entity name only. Counts and performance require separate facts."
"FACT-R1-GA100-FP16-A","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-NUM-OPERAND-A","FP16","","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-NUM-OPERAND-A|FP16|||COND-R1-GA100-SM-FP16-DENSE","draft","Implementation-specific dense per-SM path. FMA is not converted to FLOP and no clock frequency or full-chip peak is inferred."
"FACT-R1-GA100-FP16-ACC","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-NUM-ACCUMULATION","FP32","","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-NUM-ACCUMULATION|FP32|||COND-R1-GA100-SM-FP16-DENSE","draft","Implementation-specific dense per-SM path. FMA is not converted to FLOP and no clock frequency or full-chip peak is inferred."
"FACT-R1-GA100-FP16-B","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-NUM-OPERAND-B","FP16","","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-NUM-OPERAND-B|FP16|||COND-R1-GA100-SM-FP16-DENSE","draft","Implementation-specific dense per-SM path. FMA is not converted to FLOP and no clock frequency or full-chip peak is inferred."
"FACT-R1-GA100-FP16-COUNT-RULE","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-COMP-COUNT-RULE","vendor_label","","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-COMP-COUNT-RULE|vendor_label|||COND-R1-GA100-SM-FP16-DENSE","draft","Implementation-specific dense per-SM path. FMA is not converted to FLOP and no clock frequency or full-chip peak is inferred."
"FACT-R1-GA100-FP16-DENSE-SPARSITY","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-NUM-SPARSITY","dense","","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-NUM-SPARSITY|dense|||COND-R1-GA100-SM-FP16-DENSE","draft","This closes only the published dense per-SM implementation path. Architecture sparse FP16 remains a separate condition-bound fact on the Ampere FP16 path."
"FACT-R1-GA100-FP16-FMA-PER-SM","","","","","PPATH-R1-GA100-TENSOR-FP16-DENSE","","","FIELD-COMP-THROUGHPUT","","1024","","COND-R1-GA100-SM-FP16-DENSE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","precision_path|PPATH-R1-GA100-TENSOR-FP16-DENSE|FIELD-COMP-THROUGHPUT||1024||COND-R1-GA100-SM-FP16-DENSE","draft","Implementation-specific dense per-SM path. FMA is not converted to FLOP and no clock frequency or full-chip peak is inferred."
"FACT-R1-GA100-ID-FAMILY","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-FAMILY","GA100","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-FAMILY|GA100|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-NAME","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-NAME","NVIDIA GA100","","","COND-NONE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-NAME|NVIDIA GA100|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-TYPE","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-OBJECT-TYPE","die","","","COND-NONE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-OBJECT-TYPE|die|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-ID-VENDOR","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-ID-VENDOR","NVIDIA","","","COND-NONE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-ID-VENDOR|NVIDIA|||COND-NONE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-L1SMEM-CAPACITY-PER-SM","","COMP-R1-GA100-L1SMEM","","","","","","FIELD-MEM-CAPACITY","","196608","byte","COND-R1-GA100-PER-SM-MEMORY","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L1SMEM|FIELD-MEM-CAPACITY||196608|byte|COND-R1-GA100-PER-SM-MEMORY","draft","One 192 KB combined L1 data cache and shared-memory physical capacity per SM. It is not added to the separate 164 KB maximum configurable shared allocation."
"FACT-R1-GA100-MEM-NAME-L1SMEM","","COMP-R1-GA100-L1SMEM","","","","","","FIELD-MEM-NAME","GA100 unified L1 data cache and shared memory","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L1SMEM|FIELD-MEM-NAME|GA100 unified L1 data cache and shared memory|||COND-R1-GA100-FULL-DIE","draft","Memory-level identity only; no missing capacity, bandwidth, latency, pooling, or port value is inferred."
"FACT-R1-GA100-MEM-NAME-L2","","COMP-R1-GA100-L2","","","","","","FIELD-MEM-NAME","GA100 L2 cache","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-L2|FIELD-MEM-NAME|GA100 L2 cache|||COND-R1-GA100-FULL-DIE","draft","Memory-level identity only; no missing capacity, bandwidth, latency, pooling, or port value is inferred."
"FACT-R1-GA100-MEM-NAME-REG","","COMP-R1-GA100-REG","","","","","","FIELD-MEM-NAME","GA100 SM register file","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-MEM-NAME|GA100 SM register file|||COND-R1-GA100-FULL-DIE","draft","Memory-level identity only; no missing capacity, bandwidth, latency, pooling, or port value is inferred."
"FACT-R1-GA100-OFA-DETAIL","","","","","","CAP-R1-GA100-OFA","","FIELD-CAP-IMPLEMENTATION-DETAIL","Hardware optical-flow and stereo-disparity acceleration with tunable quality and performance.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-OFA|FIELD-CAP-IMPLEMENTATION-DETAIL|Hardware optical-flow and stereo-disparity acceleration with tunable quality and performance.|||COND-NONE","draft","No A100 five-NVDEC count, 1410 MHz throughput, stream count, NVJPG core count, NVENC, RT, or display absence is imported."
"FACT-R1-GA100-OFA-LEVEL","","","","","","CAP-R1-GA100-OFA","","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_physical_module","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-OFA|FIELD-CAP-IMPLEMENTATION-LEVEL|dedicated_physical_module|||COND-NONE","draft","No A100 five-NVDEC count, 1410 MHz throughput, stream count, NVJPG core count, NVENC, RT, or display absence is imported."
"FACT-R1-GA100-PCIE-PROTOCOL","","","LINK-R1-GA100-PCIE4-X16","","","","","FIELD-INT-PROTOCOL","PCI Express 4.0 x16 host interface","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","link|LINK-R1-GA100-PCIE4-X16|FIELD-INT-PROTOCOL|PCI Express 4.0 x16 host interface|||COND-R1-GA100-FULL-DIE","draft","Direct Figure 6 interface label. No card form factor, lane throughput, or enabled-product topology is inferred."
"FACT-R1-GA100-PHY-AREA","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-DIE-AREA","","826","mm2","COND-R1-GA100-FULL-DIE","direct_statement","corroborated","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-DIE-AREA||826|mm2|COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-FOUNDRY","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-FOUNDRY","TSMC","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Fixed NVIDIA whitepaper direct statement.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-FOUNDRY|TSMC|||COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-PHY-PROCESS","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-PROCESS","TSMC 7 nm N7","","","COND-R1-GA100-FULL-DIE","direct_statement","source_with_caveat","provisional","","","high","The NVIDIA whitepaper directly states TSMC 7 nm N7; ISSCC independently confirms only the coarser 7nm node wording.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-PROCESS|TSMC 7 nm N7|||COND-R1-GA100-FULL-DIE","draft","ISSCC does not independently confirm the foundry or N7 label. Its assertion remains a qualifier, not exact normalized-value corroboration."
"FACT-R1-GA100-PHY-TRANSISTORS","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-PHY-TRANSISTORS","","54200000000","count","COND-R1-GA100-FULL-DIE","direct_statement","source_with_caveat","provisional","","","high","Fixed NVIDIA whitepaper direct statement with a compatible but rounded ISSCC qualifier.","object|OBJ-NVIDIA-GA100-DIE|FIELD-PHY-TRANSISTORS||54200000000|count|COND-R1-GA100-FULL-DIE","draft","Frozen full-die subject. No A100 enabled, package, HBM, clock, power, or product peak is imported."
"FACT-R1-GA100-RAS-CONTAINMENT","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-RAS-FAULT-ISOLATION","Error containment isolates contained uncorrectable ECC errors, while rare uncontained uncorrectable errors remain possible.","","","COND-R1-GA100-RAS-CONTAINMENT","direct_statement","single_source","provisional","","","medium","Direct GA100 support matrix and documented process, with external memory, driver, or reset dependencies retained in the condition.","object|OBJ-NVIDIA-GA100-DIE|FIELD-RAS-FAULT-ISOLATION|Error containment isolates contained uncorrectable ECC errors, while rare uncontained uncorrectable errors remain possible.|||COND-R1-GA100-RAS-CONTAINMENT","draft","The fact subject remains the GA100 object as required by the reliability field contract. Conditions preserve HBM, driver, InfoROM, application, and reset boundaries."
"FACT-R1-GA100-RAS-DETECTION","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-RAS-ERROR-DETECTION","The NVIDIA driver locates framebuffer uncorrectable errors before offlining the affected page.","","","COND-R1-GA100-RAS-DPO","direct_statement","single_source","provisional","","","medium","Direct GA100 support matrix and documented process, with external memory, driver, or reset dependencies retained in the condition.","object|OBJ-NVIDIA-GA100-DIE|FIELD-RAS-ERROR-DETECTION|The NVIDIA driver locates framebuffer uncorrectable errors before offlining the affected page.|||COND-R1-GA100-RAS-DPO","draft","The fact subject remains the GA100 object as required by the reliability field contract. Conditions preserve HBM, driver, InfoROM, application, and reset boundaries."
"FACT-R1-GA100-RAS-DPO","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-RAS-CAPABILITY","Dynamic page offlining for framebuffer uncorrectable errors through the NVIDIA driver.","","","COND-R1-GA100-RAS-DPO","direct_statement","single_source","provisional","","","medium","Direct GA100 support matrix and documented process, with external memory, driver, or reset dependencies retained in the condition.","object|OBJ-NVIDIA-GA100-DIE|FIELD-RAS-CAPABILITY|Dynamic page offlining for framebuffer uncorrectable errors through the NVIDIA driver.|||COND-R1-GA100-RAS-DPO","draft","The fact subject remains the GA100 object as required by the reliability field contract. Conditions preserve HBM, driver, InfoROM, application, and reset boundaries."
"FACT-R1-GA100-RAS-RECOVERY","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-RAS-RECOVERY","The affected application is terminated, the page is marked unusable, and page reclamation depends on the documented reset and recovery flow.","","","COND-R1-GA100-RAS-DPO","direct_statement","single_source","provisional","","","medium","Direct GA100 support matrix and documented process, with external memory, driver, or reset dependencies retained in the condition.","object|OBJ-NVIDIA-GA100-DIE|FIELD-RAS-RECOVERY|The affected application is terminated, the page is marked unusable, and page reclamation depends on the documented reset and recovery flow.|||COND-R1-GA100-RAS-DPO","draft","The fact subject remains the GA100 object as required by the reliability field contract. Conditions preserve HBM, driver, InfoROM, application, and reset boundaries."
"FACT-R1-GA100-RAS-ROW-REMAP","OBJ-NVIDIA-GA100-DIE","","","","","","","FIELD-RAS-CORRECTION-REPLAY","Row remapping replaces a failing external HBM or DRAM row with a spare row after the documented driver, service, and reset workflow.","","","COND-R1-GA100-RAS-ROW-REMAP","direct_statement","single_source","provisional","","","medium","Direct GA100 support matrix and documented process, with external memory, driver, or reset dependencies retained in the condition.","object|OBJ-NVIDIA-GA100-DIE|FIELD-RAS-CORRECTION-REPLAY|Row remapping replaces a failing external HBM or DRAM row with a spare row after the documented driver, service, and reset workflow.|||COND-R1-GA100-RAS-ROW-REMAP","draft","The fact subject remains the GA100 object as required by the reliability field contract. Conditions preserve HBM, driver, InfoROM, application, and reset boundaries."
"FACT-R1-GA100-REG-AGGREGATION","","COMP-R1-GA100-REG","","","","","","FIELD-MEM-AGGREGATION-VALIDITY","aggregate_capacity_only","","","COND-R1-GA100-PER-SM-MEMORY","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-MEM-AGGREGATION-VALIDITY|aggregate_capacity_only|||COND-R1-GA100-PER-SM-MEMORY","draft","Figure 7 shows four 16,384 by 32-bit register-file groups whose capacity sums to 256 KB per SM. This does not authorize bandwidth aggregation or a full-chip total."
"FACT-R1-GA100-REG-CAPACITY-PER-SM","","COMP-R1-GA100-REG","","","","","","FIELD-MEM-CAPACITY","","262144","byte","COND-R1-GA100-PER-SM-MEMORY","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-MEM-CAPACITY||262144|byte|COND-R1-GA100-PER-SM-MEMORY","draft","Four 16,384 by 32-bit register-file groups total 256 KB per SM. The A100 108-SM aggregate is excluded."
"FACT-R1-GA100-REG-INSTANCE-COUNT-PER-SM","","COMP-R1-GA100-REG","","","","","","FIELD-MEM-INSTANCE-COUNT","","4","count","COND-R1-GA100-PER-SM-MEMORY","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-REG|FIELD-MEM-INSTANCE-COUNT||4|count|COND-R1-GA100-PER-SM-MEMORY","draft","Figure 7 shows four 16,384 by 32-bit register-file groups whose capacity sums to 256 KB per SM. This does not authorize bandwidth aggregation or a full-chip total."
"FACT-R1-GA100-SM-ISSUE","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-ISSUE-WIDTH","","32","","COND-R1-GA100-SM-PROCESSING-BLOCK","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-ISSUE-WIDTH||32||COND-R1-GA100-SM-PROCESSING-BLOCK","draft","Diagram label or structural organization only. No aggregate issue rate, scheduler RTL, or simultaneous-peak claim."
"FACT-R1-GA100-SM-SHARED","","COMP-R1-GA100-SM","","","","","","FIELD-COMP-SHARED-RESOURCE","Four processing blocks each combine warp scheduling, dispatch, register-file, FP32 and INT32 execution, Tensor Core, load-store, and special-function resources.","","","COND-R1-GA100-FULL-DIE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","component|COMP-R1-GA100-SM|FIELD-COMP-SHARED-RESOURCE|Four processing blocks each combine warp scheduling, dispatch, register-file, FP32 and INT32 execution, Tensor Core, load-store, and special-function resources.|||COND-R1-GA100-FULL-DIE","draft","Diagram label or structural organization only. No aggregate issue rate, scheduler RTL, or simultaneous-peak claim."
"FACT-R1-GA100-VIDEO-DETAIL","","","","","","CAP-R1-GA100-VIDEO-DECODE","","FIELD-CAP-IMPLEMENTATION-DETAIL","Hardware decode supports H.264 8-bit 4:2:0, HEVC 8-bit or 10-bit or 12-bit 4:2:0 and 4:4:4, and VP9 8-bit or 10-bit or 12-bit 4:2:0.","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-VIDEO-DECODE|FIELD-CAP-IMPLEMENTATION-DETAIL|Hardware decode supports H.264 8-bit 4:2:0, HEVC 8-bit or 10-bit or 12-bit 4:2:0 and 4:4:4, and VP9 8-bit or 10-bit or 12-bit 4:2:0.|||COND-NONE","draft","No A100 five-NVDEC count, 1410 MHz throughput, stream count, NVJPG core count, NVENC, RT, or display absence is imported."
"FACT-R1-GA100-VIDEO-LEVEL","","","","","","CAP-R1-GA100-VIDEO-DECODE","","FIELD-CAP-IMPLEMENTATION-LEVEL","dedicated_physical_module","","","COND-NONE","direct_statement","single_source","provisional","","","high","Direct fixed-source statement.","capability|CAP-R1-GA100-VIDEO-DECODE|FIELD-CAP-IMPLEMENTATION-LEVEL|dedicated_physical_module|||COND-NONE","draft","No A100 five-NVDEC count, 1410 MHz throughput, stream count, NVJPG core count, NVENC, RT, or display absence is imported."
