"平台","年份","资料类别","论文或资料标题","发表期刊或会议","主要作者","作者单位","DOI","来源链接","来源项目","源文件","汇总后文件","页数","文件大小_字节","SHA256","PDF解析"
"NVIDIA GPU","2017","独立逆向与微基准","Understanding the GPU Microarchitecture to Achieve Bare-Metal Performance Tuning","Proceedings of the 22nd ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming","Xiuxia Zhang；Guangming Tan；Shuangbai Xue；Jiajia Li；Keren Zhou；Mingyu Chen","Chinese Academy of Sciences, Beijing, China；Georgia Institute of Technology, Atlanta, GA, USA","10.1145/3018743.3018755","https://fruitfly1026.github.io/static/files/p31-zhang.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2017_Understanding_GPU_Microarchitecture_Bare_Metal_Performance.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2017_Understanding_GPU_Microarchitecture_Bare_Metal_Performance.pdf","13","960963","683dbc0a6c8aa27c420e4412ee7593bf4abff9fa94b4a7a6925b419c9f6ea03d","通过"
"NVIDIA GPU","2018","独立逆向与微基准","Dissecting the NVIDIA Volta GPU Architecture via Microbenchmarking","arXiv 技术报告","当前清单未完整著录","Citadel 高性能计算研发团队","","https://arxiv.org/pdf/1804.06826","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2018_Dissecting_NVIDIA_Volta_GPU.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2018_Dissecting_NVIDIA_Volta_GPU.pdf","66","1518527","9d731e35c13ffc579e309015b3703e28a898fc72b14d1dacc388d3d4c0d97088","通过"
"NVIDIA GPU","2018","独立逆向与微基准","NVIDIA Tensor Core Programmability Performance and Precision","2018 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)","Stefano Markidis；Steven Wei Der Chien；Erwin Laure；Ivy Bo Peng；Jeffrey S. Vetter","瑞典皇家理工学院；橡树岭国家实验室","10.1109/IPDPSW.2018.00091","https://arxiv.org/pdf/1803.04014","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2018_NVIDIA_Tensor_Core_Programmability_Performance_Precision.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2018_NVIDIA_Tensor_Core_Programmability_Performance_Precision.pdf","12","715884","1e8e2b40587d539ee775b0a784f3da13b6df20af5ad0dfec038716effbfd068c","通过"
"NVIDIA GPU","2019","独立逆向与微基准","Decoding CUDA Binary","2019 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","Ari B. Hayes；Fei Hua；Jin Huang；Yanhao Chen；Eddy Z. Zhang","罗格斯大学","10.1109/CGO.2019.8661186","https://people.cs.rutgers.edu/zz124/assets/pdf/cgo19.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Decoding_CUDA_Binary.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Decoding_CUDA_Binary.pdf","13","272362","77dabf8c7752a94d99010d61dd7c72e6124b834eeed38dc146b945a06228ed77","通过"
"NVIDIA GPU","2019","独立逆向与微基准","Dissecting the NVIDIA Turing T4 GPU via Microbenchmarking","arXiv 技术报告","当前清单未完整著录","Citadel 高性能计算研发团队","","https://arxiv.org/pdf/1903.07486","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Dissecting_NVIDIA_Turing_T4_GPU.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Dissecting_NVIDIA_Turing_T4_GPU.pdf","65","3933820","40e964d0287b00ea5ae42a2c5419d896b417b974d96d2214006c4654eb220d8b","通过"
"NVIDIA GPU","2019","独立逆向与微基准","Experimental Analysis of Matrix Multiplication Functional Units","2019 IEEE 26th Symposium on Computer Arithmetic (ARITH)","Brian Hickmann；Dennis Bradford","Intel","10.1109/ARITH.2019.00031","https://doi.org/10.1109/ARITH.2019.00031","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Experimental_Analysis_Matrix_Multiplication_Functional_Units.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Experimental_Analysis_Matrix_Multiplication_Functional_Units.pdf","4","186423","d3ab7c5a0658c64f1607d00329f41e5d0f5d4a1e86b6c4b4631f492412533bab","通过"
"NVIDIA GPU","2019","独立逆向与微基准","Low Overhead Instruction Latency Characterization for NVIDIA GPGPUs","2019 IEEE High Performance Extreme Computing Conference (HPEC)","Yehia Arafa；Abdel-Hameed A. Badawy；Gopinath Chennupati；Nandakishore Santhi；Stephan Eidenbenz","新墨西哥州立大学；洛斯阿拉莫斯国家实验室","10.1109/hpec.2019.8916466","https://arxiv.org/pdf/1905.08778","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Low_Overhead_Instruction_Latency_Characterization.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2019_Low_Overhead_Instruction_Latency_Characterization.pdf","8","517924","644b0cdeb1beed3d9853a0b4b3262c5acf3542fbb83e7854475bff6ac7ade9b7","通过"
"NVIDIA GPU","2020","独立逆向与微基准","Demystifying Tensor Cores to Optimize Half-Precision Matrix Multiply","2020 IEEE International Parallel and Distributed Processing Symposium (IPDPS)","Da Yan；Wei Wang；Xiaowen Chu","香港科技大学；香港浸会大学","10.1109/IPDPS47924.2020.00071","https://doi.org/10.1109/IPDPS47924.2020.00071","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Demystifying_Tensor_Cores_Half_Precision_Matmul.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Demystifying_Tensor_Cores_Half_Precision_Matmul.pdf","10","661109","f1bb3c7d493d1e538f77f1db59b533520e6290dbcc1ebeeb5cdd961fe62e8842","通过"
"NVIDIA GPU","2020","独立逆向与微基准","Demystifying the Placement Policies of the NVIDIA GPU Thread Block Scheduler for Concurrent Kernels","ACM SIGMETRICS Performance Evaluation Review","Guin Gilman；Samuel S. Ogden；Tian Guo；Robert J. Walls","Worcester Polytechnic Institute, Worcester, MA, USA","10.1145/3453953.3453972","https://tianguo.info/project/performance-characterization-and-modeling/gpu_perf2020.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2020_GPU_Thread_Block_Scheduler_Placement.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2020_GPU_Thread_Block_Scheduler_Placement.pdf","8","287533","a31f3e5f2298e524dfb271398292db8bc83f0cbd5d3e6f70aa9866c5fa695df6","通过"
"NVIDIA GPU","2020","独立逆向与微基准","Mixed Precision Block Fused Multiply-Add Error Analysis and Application to GPU Tensor Cores","SIAM Journal on Scientific Computing","Pierre Blanchard；Nicholas J. Higham；Florent Lopez；Theo Mary；Srikara Pranesh","曼彻斯特大学","10.1137/19M1289546","https://eprints.maths.manchester.ac.uk/2750/1/paper.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Mixed_Precision_Block_FMA_Tensor_Cores.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Mixed_Precision_Block_FMA_Tensor_Cores.pdf","19","580347","08e62e7f979afb969aaf83febc8f10a29bab0439c4c219224ac1eb1ad02bba5e","通过"
"NVIDIA GPU","2020","独立逆向与微基准","Verified Instruction-Level Energy Consumption Measurement for NVIDIA GPUs","Proceedings of the 17th ACM International Conference on Computing Frontiers","Yehia Arafa；Ammar ElWazir；Abdelrahman ElKanishy；Youssef Aly；Ayatelrahman Elsayed；Abdel-Hameed Badawy；等","New Mexico State University；Arab Academy for Science, Technology & Maritime Transport, Egypt；Los Alamos National Laboratory","10.1145/3387902.3392613","https://arxiv.org/pdf/2002.07795","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Verified_Instruction_Level_GPU_Energy.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2020_Verified_Instruction_Level_GPU_Energy.pdf","9","2495255","590996030ca52ef30b496a32a3426ed34e3d8f7fbf466a2cebd5bbeaf549a225","通过"
"NVIDIA GPU","2021","独立逆向与微基准","Network-on-Chip Microarchitecture-based Covert Channel in GPUs","MICRO-54: 54th Annual IEEE/ACM International Symposium on Microarchitecture","Jaeguk Ahn；Jiho Kim；Hans Kasan；Leila Delshadtehrani；Wonjun Song；Ajay Joshi；等","KAIST, Republic of Korea；Boston University, USA；Kangwon University, Republic of Korea","10.1145/3466752.3480093","https://people.bu.edu/joshi/files/Ahn_Micro_2021.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2021_GPU_NoC_Microarchitecture_Covert_Channel.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2021_GPU_NoC_Microarchitecture_Covert_Channel.pdf","13","3225667","5eac833ef5a160486c628f8065c81b71a8b057f23dd68988fc117b4e329792f7","通过"
"NVIDIA GPU","2021","独立逆向与微基准","Numerical Behavior of NVIDIA Tensor Cores","PeerJ Computer Science","Massimiliano Fasi；Nicholas J. Higham；Mantas Mikaitis；Srikara Pranesh","School of Science and Technology, Örebro University, Örebro, Sweden；Department of Mathematics, University of Manchester, Manchester, UK","10.7717/peerj-cs.330","https://peerj.com/articles/cs-330.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2021_Numerical_Behavior_NVIDIA_Tensor_Cores.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2021_Numerical_Behavior_NVIDIA_Tensor_Cores.pdf","19","1486112","d68064fd35aea34dde73f70ddb7cfcf7fe68018451709f7bdf4df9947cda9bbc","通过"
"NVIDIA GPU","2022","独立逆向与微基准","Demystifying the NVIDIA Ampere Architecture through Microbenchmarking and Instruction-level Analysis","2022 IEEE High Performance Extreme Computing Conference (HPEC)","Hamdy Abdelkhalik；Yehia Arafa；Nandakishore Santhi；Abdel-Hameed A. Badawy","Klipsch School of ECE, New Mexico State University；Los Alamos National Laboratory,Information Sciences Group","10.1109/HPEC55821.2022.9926299","https://arxiv.org/pdf/2208.11174","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Demystifying_NVIDIA_Ampere_Architecture.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Demystifying_NVIDIA_Ampere_Architecture.pdf","8","285169","86013d806532a281e7878415cc1a55aa426f8fbd8ae0e9dc02285882fbdd8227","通过"
"NVIDIA GPU","2022","独立逆向与微基准","Isolating GPU Architectural Features Using Parallelism-Aware Microbenchmarks","Proceedings of the 2022 ACM/SPEC on International Conference on Performance Engineering","Rico van Stigt；Stephen Nicholas Swatman；Ana-Lucia Varbanescu","University of Amsterdam, Amsterdam, Netherlands","10.1145/3489525.3511673","https://research.spec.org/icpe_proceedings/2022/proceedings/p77.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Isolating_GPU_Architectural_Features.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2022_Isolating_GPU_Architectural_Features.pdf","12","1681572","93052d67af0cefda3347feb223488ab9c0dd2ce45d538a4bf0195be73a9892ca","通过"
"NVIDIA GPU","2023","独立逆向与微基准","Dissecting Tensor Cores via Microbenchmarks Latency Throughput and Numeric Behaviors","IEEE Transactions on Parallel and Distributed Systems","Wei Sun；Ang Li；Tong Geng；Sander Stuijk；Henk Corporaal","Electronic System Group, Eindhoven University of Technology, Eindhoven, AZ, The Netherlands；Physical and Computational Sciences Directorate, Pacific Northwest National Laboratory, Richland, WA, USA","10.1109/TPDS.2022.3217824","https://arxiv.org/pdf/2206.02874","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2023_Dissecting_Tensor_Cores_Microbenchmarks.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2023_Dissecting_Tensor_Cores_Microbenchmarks.pdf","16","3221296","77c798313c3c884111f0bd0661cafc084ae607c8f80b78b9806e320d7b294710","通过"
"NVIDIA GPU","2023","独立逆向与微基准","TunneLs for Bootlegging Fully Reverse-Engineering GPU TLBs for Challenging Isolation Guarantees of NVIDIA MIG","Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security","Zhenkai Zhang；Tyler Allen；Fan Yao；Xing Gao；Rong Ge","Clemson University, Clemson, SC, USA；University of North Carolina at Charlotte, Charlotte, NC, USA；University of Central Florida, Orlando, FL, USA；University of Delaware, Newark, DE, USA","10.1145/3576915.3616672","https://xgao-work.github.io/paper/ccs23.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2023_TunneLs_GPU_TLBs_NVIDIA_MIG.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2023_TunneLs_GPU_TLBs_NVIDIA_MIG.pdf","15","1260630","6cc780a9a7aba8d32608c55e2943d997c575dcff9c0e5624d8e2ee6dc394e7df","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Enabling Full-Speed Random Access to the Entire Memory on the A100 GPU","arXiv 预印本","当前清单未完整著录","当前版本首页未列作者单位","","https://arxiv.org/pdf/2405.11425","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_A100_Full_Speed_Random_Access_Memory.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_A100_Full_Speed_Random_Access_Memory.pdf","6","587055","6ca888b92691f06de9d5d15b268f2e2c738c9f0ef44441e6fd785f65a113a8a9","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Benchmarking and Dissecting the NVIDIA Hopper GPU Architecture","2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS)","Weile Luo；Ruibo Fan；Zeyu Li；Dayou Du；Qiang Wang；Xiaowen Chu","The Hong Kong University of Science and Technology,Guangzhou；Harbin Institute of Technology,Shenzhen","10.1109/IPDPS57955.2024.00064","https://arxiv.org/pdf/2402.13499","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Benchmarking_Dissecting_NVIDIA_Hopper.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Benchmarking_Dissecting_NVIDIA_Hopper.pdf","12","537110","6ce81fecf9c4a9d2edb2eaf476af97ec65b7107ec1293b506bd3a4d696e1ff78","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Benchmarking Thread Block Cluster","2024 IEEE High Performance Extreme Computing Conference (HPEC)","Tim Lühnen；Tobias Marschner；Sohan Lal","Hamburg University of Technology,Massively Parallel Systems Group,Hamburg,Germany","10.1109/HPEC62836.2024.10938416","https://tore.tuhh.de/bitstreams/f19e2bfe-f059-499b-b473-d9f00f78d01d/download","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Benchmarking_Thread_Block_Cluster.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Benchmarking_Thread_Block_Cluster.pdf","7","448225","94ad0e69f8fb6f4cfa9a02df7facde68e54b2561b8eb647427cb0f5f4190df14","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Control Flow Management in Modern GPUs","arXiv 预印本","当前清单未完整著录","加泰罗尼亚理工大学（UPC）","","https://arxiv.org/pdf/2407.02944","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Control_Flow_Management_Modern_GPUs.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Control_Flow_Management_Modern_GPUs.pdf","13","709693","49f514ab8e267d36388585321faea2e2395836b56cd2f9c207df13c39aed1544","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Demystifying NVIDIA GPU Internals to Enable Reliable GPU Management","2024 IEEE 30th Real-Time and Embedded Technology and Applications Symposium (RTAS)","Joshua Bakita；James H. Anderson","University of North Carolina,Department of Computer Science,Chapel Hill","10.1109/RTAS61025.2024.00031","https://www.cs.unc.edu/~jbakita/rtas24-private.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Demystifying_NVIDIA_GPU_Internals_Management.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Demystifying_NVIDIA_GPU_Internals_Management.pdf","12","835531","6a68056af8cb1224701e688f99cda1aedf66df2073002ecd870c9932d9d816e5","通过"
"NVIDIA GPU","2024","独立逆向与微基准","FTTN Feature-Targeted Testing for Numerical Properties of NVIDIA and AMD Matrix Accelerators","2024 IEEE 24th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)","Xinyi Li；Ang Li；Bo Fang；Katarzyna Swirydowicz；Ignacio Laguna；Ganesh Gopalakrishnan","University of Utah,Kahlert School of Computing；Pacific Northwest National Laboratory；Lawrence Livermore National Lab Laboratory","10.1109/CCGrid59990.2024.00014","https://arxiv.org/pdf/2403.00232","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_FTTN_Numerical_Properties_Matrix_Accelerators.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_FTTN_Numerical_Properties_Matrix_Accelerators.pdf","10","2185643","bcc23b21e1e0bff3ffec8f85ee5262e49ddc26737db19e188ae766c8f5ff48dc","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Harnessing Integrated CPU-GPU System Memory for HPC A First Look into Grace Hopper","Proceedings of the 53rd International Conference on Parallel Processing","Gabin Schieffer；Jacob Wahlgren；Jie Ren；Jennifer Faj；Ivy Peng","KTH Royal Institute of Technology, Sweden；William & Mary, United States of America","10.1145/3673038.3673110","https://arxiv.org/pdf/2407.07850","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_First_Look_Grace_Hopper_Unified_Memory.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_First_Look_Grace_Hopper_Unified_Memory.pdf","11","978957","3809a0b48fd3b25516d36a927c197b1cd642718c9749655d9c353a261249f01d","通过"
"NVIDIA GPU","2024","独立逆向与微基准","Uncovering Real GPU NoC Characteristics Implications on Interconnect Architecture","2024 57th IEEE/ACM International Symposium on Microarchitecture (MICRO)","Zhixian Jin；Christopher Rocca；Jiho Kim；Hans Kasan；Minsoo Rhu；Ali Bakhoda；等","KAIST,Daejeon,Republic of Korea；Microsoft,Bellevue,WA,USA；University of British Columbia,Vancouver,Canada","10.1109/MICRO61859.2024.00070","https://people.ece.ubc.ca/aamodt/publications/papers/realgpu-noc.micro2024.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Uncovering_Real_GPU_NoC_Characteristics.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2024_Uncovering_Real_GPU_NoC_Characteristics.pdf","14","11375253","b934b461be8baeff39f4b12eedca5e1e783e584442badd9566ed756e1a9c3874","通过"
"NVIDIA GPU","2025","独立逆向与微基准","Accurate Models of NVIDIA Tensor Cores","ACM Transactions on Architecture and Code Optimization","Faizan Khattak；Mantas Mikaitis","University of Leeds；School of Computer Science, University of Leeds","10.1145/3830409","https://arxiv.org/pdf/2512.07004","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Accurate_Models_NVIDIA_Tensor_Cores.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Accurate_Models_NVIDIA_Tensor_Cores.pdf","25","793929","20c0594f2f91b8df7618e6d6bd00a04ee0b7bf557a5ce19d08927241f78fdee4","通过"
"NVIDIA GPU","2025","独立逆向与微基准","Dissecting and Modeling the Architecture of Modern GPU Cores","Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture","Rodrigo Huerta；Mojtaba Abaie Shoushtary；José-Lorenzo Cruz；Antonio Gonzalez","Universitat Politècnica de Catalunya, Barcelona, Spain","10.1145/3725843.3756041","https://upcommons.upc.edu/server/api/core/bitstreams/3d75bf4b-84c5-4901-a435-413ba8036f1b/content","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_Modeling_Modern_GPU_Cores.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_Modeling_Modern_GPU_Cores.pdf","16","784839","4cafbb3141c6a8523b83bb4d916e7fcbff24279ff97f04906aad4509fe731874","通过"
"NVIDIA GPU","2025","独立逆向与微基准","Dissecting the NVIDIA Blackwell Architecture with Microbenchmarks","2025 IEEE 32nd International Conference on High Performance Computing, Data and Analytics Workshop (HiPCW)","Aaron Jarmusch；Nathan Graddon；Sunita Chandrasekaran","特拉华大学","10.1109/hipcw66559.2025.00109","https://arxiv.org/pdf/2507.10789","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_NVIDIA_Blackwell_GB203.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_NVIDIA_Blackwell_GB203.pdf","11","1622021","4a275aefc53f04da6fb016b2dce3cc9671aa6eaea6cd7f4c7a449976b63507c5","通过"
"NVIDIA GPU","2025","独立逆向与微基准","Dissecting the NVIDIA Hopper Architecture through Microbenchmarking and Multiple Level Analysis","arXiv 扩展稿","当前清单未完整著录","香港科技大学（广州）；哈尔滨工业大学（深圳）","","https://arxiv.org/pdf/2501.12084","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_NVIDIA_Hopper_Extended.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Dissecting_NVIDIA_Hopper_Extended.pdf","33","1300387","eb7d66d97d42f749f5a219b2a6fb652a17f000904802c1c01bb546b5796b67ea","通过"
"NVIDIA GPU","2025","独立逆向与微基准","Generalized Methodology for Determining Numerical Features of Hardware Floating-Point Matrix Multipliers Part I","2025 IEEE High Performance Extreme Computing Conference (HPEC)","Faizan A. Khattak；Mantas Mikaitis","University of Leeds,School of Computer Science,Leeds,UK","10.1109/HPEC67600.2025.11196657","https://eprints.whiterose.ac.uk/id/eprint/231310/1/khmi25.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Generalized_Methodology_Hardware_Matrix_Multipliers.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_Generalized_Methodology_Hardware_Matrix_Multipliers.pdf","7","277172","0f2caef4b2276e6df9a80a2bc2cbad212706c697160aa93531f3abc7094882fb","通过"
"NVIDIA GPU","2025","独立逆向与微基准","NVBleed Covert and Side-Channel Attacks on NVIDIA Multi-GPU Interconnect","arXiv 预印本","当前清单未完整著录","加州大学河滨分校；太平洋西北国家实验室","","https://arxiv.org/pdf/2503.17847","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_NVBleed_NVIDIA_Multi_GPU_Interconnect.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_NVBleed_NVIDIA_Multi_GPU_Interconnect.pdf","14","6071424","0451986a251e1a950c4d7c17e8452e2be7befc900ac7e4cd66d202fab9dad568","通过"
"NVIDIA GPU","2025","独立逆向与微基准","An SMT Formalization of Mixed-Precision Matrix Multiplication Modeling Three Generations of Tensor Cores","Lecture Notes in Computer Science","Benjamin Valpey；Xinyi Li；Sreepathi Pai；Ganesh Gopalakrishnan","罗切斯特大学；犹他大学","10.1007/978-3-031-93706-4_21","https://arxiv.org/pdf/2502.15999","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2025_SMT_Formalization_Three_Generations_Tensor_Cores.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2025_SMT_Formalization_Three_Generations_Tensor_Cores.pdf","21","325577","78daf7493c3c06f1b78abf50952e2e1525407e7d2f39fd98710e806bd5e0db3a","通过"
"NVIDIA GPU","2026","独立逆向与微基准","Behind Bars A Side-Channel Attack on NVIDIA MIG Cache Partitioning Using Memory Barriers","USENIX Security 2026","当前清单未完整著录","罗切斯特大学；克莱姆森大学；Microsoft；加州大学圣克鲁兹分校","","https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_gu-cheng.pdf","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Behind_Bars_NVIDIA_MIG_Cache.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Behind_Bars_NVIDIA_MIG_Cache.pdf","20","3238185","038050b59b89034eb2a97e00b38325f5a9179fb134380bb928c880d3f483f8b3","通过"
"NVIDIA GPU","2026","独立逆向与微基准","Consistency and Coherence of the NVIDIA Grace-Hopper Superchip","Proceedings of the 2026 ACM SIGPLAN International Symposium on Memory Management","Soham Bagchi；Sanya Srivastava；Reese Levine；Tyler Sorensen；Ryan Stutsman；Vijay Nagarajan","University of Utah, Kahlert School of Computing, Salt Lake City, USA；Duke University, Durham, USA；University of California at Santa Cruz, Santa Cruz, USA","10.1145/3814942.3816134","https://doi.org/10.1145/3814942.3816134","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Consistency_Coherence_Grace_Hopper.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Consistency_Coherence_Grace_Hopper.pdf","14","830630","6cfdfdf0d2c89962130ac285119abbc121bd39bbb0feffa8a59ec53e536a3ba9","通过"
"NVIDIA GPU","2026","独立逆向与微基准","Hawkeye Reproducing GPU-Level Non-Determinism","arXiv 预印本","当前清单未完整著录","Pearl Research Labs；斯坦福大学","","https://arxiv.org/pdf/2603.20421","调研-训练推理芯片调研-codex-v3","调研-训练推理芯片调研-codex-v3/论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Hawkeye_GPU_Non_Determinism.pdf","论文/NVIDIA_GPU/02_独立逆向与微基准/2026_Hawkeye_GPU_Non_Determinism.pdf","13","406820","4e9ea2ca68f9be74e8f93e0eb530db501f9e226ba5b185750685f20ed4f9b4a5","通过"
