"fact_id","target_kind","target_id","field_id","normalized_value","normalized_unit","fact_kind","resolution_state","source_id","source_locator","extraction_status","reuse_disposition"
"FACT-AWS-TRN2-CAP-DMA-COMPRESS-LEVEL","capability","CAP-AWS-TRN2-DMA-COMPRESS","FIELD-CAP-IMPLEMENTATION-LEVEL","configurable_engine","","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-CAP-DMA-DECOMPRESS-LEVEL","capability","CAP-AWS-TRN2-DMA-DECOMPRESS","FIELD-CAP-IMPLEMENTATION-LEVEL","configurable_engine","","direct_statement","provisional","SRC-AWS-TRN2-S01","Trainium2 chip components","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-ARCH-SW-RUNTIME","object","OBJ-AWS-TRAINIUM2-ARCH","FIELD-SW-RUNTIME","AWS Neuron SDK","","direct_statement","provisional","SRC-AWS-TRN2-S14","title and body","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-ARCH-SW-RUNTIME","object","OBJ-AWS-TRAINIUM2-ARCH","FIELD-SW-RUNTIME","AWS Neuron SDK","","direct_statement","provisional","SRC-AWS-TRN2-S14","title and body; published 2024-12-23","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-ARCH-SW-MODEL","object","OBJ-AWS-TRAINIUM2-ARCH","FIELD-SW-PROGRAMMING-MODEL","PyTorch; JAX; Hugging Face; PyTorch Lightning; NeMo; OpenXLA; NKI; NxD Training; NxD Inference","","direct_statement","provisional","SRC-AWS-TRN2-S07","Built for Developers","source_checked","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-DER-BALANCE-FP8","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-DER-COMPUTE-BW-SPEC","447.9","FLOP/byte","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-DER-BALANCE-BF16","precision_path","PP-AWS-TRN2-CHIP-TENSOR-BF16","FIELD-DER-COMPUTE-BW-SPEC","230.0","FLOP/byte","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-DER-BALANCE-FP32","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP32","FIELD-DER-COMPUTE-BW-SPEC","62.4","FLOP/byte","derived","provisional","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-DER-BALANCE-FP8-SPARSE","precision_path","PP-AWS-TRN2-CHIP-TENSOR-FP8","FIELD-DER-COMPUTE-BW-SPEC","883.8","FLOP/byte","derived","conflict_member","","","","reference_existing_fact_do_not_copy"
"FACT-AWS-TRN2-ARCH-RELEASE-DATE","object","OBJ-AWS-TRAINIUM2-ARCH","FIELD-ID-RELEASE-DATE","2023-11-28","","direct_statement","accepted","SRC-AWS-TRN2-S11","page header date and Trainium2 announcement section","independently_reviewed","reference_existing_fact_do_not_copy"
