"component_id","owner_object_id","parent_component_id","component_domain","component_type","canonical_label","review_status","notes"
"CMP-M2GA-GV3-SPMEM","OBJ-GOOGLE-TPU-V3-ARCH","CMP-M2GA-GV3-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV4-SPMEM","OBJ-GOOGLE-TPU-V4-ARCH","CMP-M2GA-GV4-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV5P-SPMEM","OBJ-GOOGLE-TPU-V5P-ARCH","CMP-M2GA-GV5P-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV6E-SPMEM","OBJ-GOOGLE-TPU-V6E-ARCH","CMP-M2GA-GV6E-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-G7X-SPMEM","OBJ-GOOGLE-TPU7X-ARCH","CMP-M2GA-G7X-SPARSE","memory","memory_level","SparseCore local scratchpad (SPMEM)","draft","存在性与管理机制；容量下沉"
"CMP-M2GA-GV3-DMA","OBJ-GOOGLE-TPU-V3-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-GV4-DMA","OBJ-GOOGLE-TPU-V4-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-GV5P-DMA","OBJ-GOOGLE-TPU-V5P-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"CMP-M2GA-G7X-DMA","OBJ-GOOGLE-TPU7X-ARCH","","data_movement","dma","Software-scheduled DMA path","draft","架构机制；不登记 DMA 数量或吞吐"
"COMP-M2NA-AMPERE-SM","OBJ-NVIDIA-AMPERE-ARCH","","control","control","Ampere Streaming Multiprocessor","draft","Architecture organization only. Enabled SM count is SKU-specific."
"COMP-M2NA-AMPERE-TENSOR","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","compute","matrix","Third-generation Tensor Core","draft","Matrix path shared by Ampere data-center implementation described in the A100 architecture whitepaper."
"COMP-M2NA-AMPERE-CUDA","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","compute","scalar","Ampere CUDA ALU lanes","needs_resolution","Per-thread SIMT ALU path. Scalar is the project schema classification and is not a vendor-published scalar aggregate peak."
"COMP-M2NA-AMPERE-SFU","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","special_function","special_function","Ampere special-function units","draft","Child of COMP-M2NA-AMPERE-SM; its structural role is covered by FACT-M2NA-AMPERE-SM-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-AMPERE-ASYNC-COPY","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","data_movement","async_copy","Ampere asynchronous global-to-shared copy path","draft","Copies global memory data to shared memory without staging through the register file."
"COMP-M2NA-AMPERE-REG","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","memory","memory_level","Ampere SM register file","draft","Capacity and bandwidth are not promoted from an A100 SKU."
"COMP-M2NA-AMPERE-L1SMEM","OBJ-NVIDIA-AMPERE-ARCH","COMP-M2NA-AMPERE-SM","memory","memory_level","Ampere unified L1 data cache and shared memory","draft","Combined on-SM resource. A100 capacity is not treated as universal across Ampere implementations."
"COMP-M2NA-AMPERE-L2","OBJ-NVIDIA-AMPERE-ARCH","","memory","memory_level","Ampere L2 cache","draft","Architecture-level existence only. Capacity and bandwidth depend on physical implementation."
"COMP-M2NA-ADA-SM","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","control","control","Ada Streaming Multiprocessor","draft","Architecture organization only. AD102 and RTX 4090 enabled-unit counts are not architecture facts."
"COMP-M2NA-ADA-TENSOR","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-SM","compute","matrix","Fourth-generation Tensor Core","draft","Ada matrix path with FP8 support."
"COMP-M2NA-ADA-CUDA","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-SM","compute","scalar","Ada CUDA ALU lanes","needs_resolution","Child of COMP-M2NA-ADA-SM and owner of PPATH-M2NA-ADA-CUDA-FP32. The scalar label remains needs_resolution; no aggregate throughput is asserted."
"COMP-M2NA-ADA-SFU","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-SM","special_function","special_function","Ada special-function units","draft","Child of COMP-M2NA-ADA-SM; its structural role is covered by FACT-M2NA-ADA-SM-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-ADA-L1SMEM","OBJ-NVIDIA-ADA-LOVELACE-ARCH","COMP-M2NA-ADA-SM","memory","memory_level","Ada unified L1 data cache and shared memory","draft","Capacity is implementation-specific and not copied from RTX 4090."
"COMP-M2NA-ADA-L2","OBJ-NVIDIA-ADA-LOVELACE-ARCH","","memory","memory_level","Ada L2 cache","draft","Capacity is not promoted from a desktop SKU."
"COMP-M2NA-BLACKWELL-SM","OBJ-NVIDIA-BLACKWELL-ARCH","","control","control","Blackwell Streaming Multiprocessor","draft","Structural parent for the Blackwell Tensor, CUDA, SFU, TMA, Tensor Memory and L1/shared-memory components. It carries no enabled-unit count."
"COMP-M2NA-BLACKWELL-TENSOR","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","compute","matrix","Fifth-generation Tensor Core","draft","Includes dense and structured-sparse tcgen05 programming paths."
"COMP-M2NA-BLACKWELL-CUDA","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","compute","scalar","Blackwell CUDA ALU lanes","needs_resolution","Child of COMP-M2NA-BLACKWELL-SM and owner of PPATH-M2NA-BLACKWELL-CUDA. No architecture-wide vector aggregate is asserted."
"COMP-M2NA-BLACKWELL-SFU","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","special_function","special_function","Blackwell special-function units","draft","Child of COMP-M2NA-BLACKWELL-SM used to preserve the special-function branch in the component hierarchy. No standalone value is asserted."
"COMP-M2NA-BLACKWELL-TMA","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","data_movement","async_copy","Blackwell Tensor Memory Accelerator","draft","Descriptor-driven asynchronous tensor movement exposed through CUDA and PTX."
"COMP-M2NA-BLACKWELL-TMEM","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","memory","memory_level","Fifth-generation Tensor Core Tensor Memory","draft","Dedicated on-chip PTX-visible storage allocated dynamically per CTA. Logical organization is not a GPU-wide physical capacity."
"COMP-M2NA-BLACKWELL-L1SMEM","OBJ-NVIDIA-BLACKWELL-ARCH","COMP-M2NA-BLACKWELL-SM","memory","memory_level","Blackwell unified L1 texture cache and shared memory","draft","Capacity and bandwidth are not promoted from a compute capability or SKU."
"COMP-M2NA-BLACKWELL-L2","OBJ-NVIDIA-BLACKWELL-ARCH","","memory","memory_level","Blackwell L2 cache","draft","Architecture-level existence only."
"COMP-M2NA-BLACKWELL-RAS","OBJ-NVIDIA-BLACKWELL-ARCH","","fixed_function","other_fixed_function","Blackwell dedicated RAS engine","draft","Represents the dedicated engine named by FACT-M2NA-BLACKWELL-RAS. The fact targets the architecture object because FIELD-RAS-CAPABILITY allows object subjects."
"COMP-M2NA-BLACKWELL-ULTRA-SFU","OBJ-NVIDIA-BLACKWELL-ULTRA-ARCH","","special_function","special_function","Blackwell Ultra exponential special-function path","draft","Only the Ultra-specific exponential throughput increment is modeled. Blackwell components are not implicitly inherited."
"COMP-M2NA-RUBIN-TENSOR","OBJ-NVIDIA-RUBIN-ARCH","","compute","matrix","Rubin third-generation Transformer Engine Tensor Core path","draft","Observation-level component from the July 2026 official architecture article."
"COMP-M2NA-RUBIN-TMA","OBJ-NVIDIA-RUBIN-ARCH","","data_movement","async_copy","Rubin enhanced Tensor Memory Accelerator","draft","Inline descriptor pointer and stride overrides are directly described."
"COMP-M2NA-RUBIN-SFU","OBJ-NVIDIA-RUBIN-ARCH","","special_function","special_function","Rubin exponential special-function path","draft","Only relative throughput is public at cutoff."
"COMP-M2NA-RUBIN-COMPRESS","OBJ-NVIDIA-RUBIN-ARCH","","fixed_function","compression","Rubin activation sparse compression path","draft","Observation-level compression mechanism. Physical block boundaries are not public."
"COMP-M2NA-CDNA2-CU","OBJ-AMD-CDNA2-ARCH","","control","control","CDNA 2 Compute Unit","draft","Architecture organization. MI200 enabled-CU counts are not copied."
"COMP-M2NA-CDNA2-MATRIX","OBJ-AMD-CDNA2-ARCH","COMP-M2NA-CDNA2-CU","compute","matrix","CDNA 2 Matrix Core","draft","Wave-wide MFMA path including FP64 matrix operations."
"COMP-M2NA-CDNA2-VECTOR","OBJ-AMD-CDNA2-ARCH","COMP-M2NA-CDNA2-CU","compute","vector","CDNA 2 SIMD vector units","draft","Four 16-wide SIMD units execute a Wave64 across cycles."
"COMP-M2NA-CDNA2-SCALAR","OBJ-AMD-CDNA2-ARCH","COMP-M2NA-CDNA2-CU","compute","scalar","CDNA 2 scalar unit","draft","Child of COMP-M2NA-CDNA2-CU; its structural role is covered by FACT-M2NA-CDNA2-CU-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-CDNA2-LDS","OBJ-AMD-CDNA2-ARCH","COMP-M2NA-CDNA2-CU","memory","memory_level","CDNA 2 Local Data Share","draft","Software-addressed local scratchpad with FP64 atomic support."
"COMP-M2NA-CDNA2-L1","OBJ-AMD-CDNA2-ARCH","COMP-M2NA-CDNA2-CU","memory","memory_level","CDNA 2 L1 data cache","draft","Capacity and bandwidth not established as architecture-generic facts in this package."
"COMP-M2NA-CDNA2-L2","OBJ-AMD-CDNA2-ARCH","","memory","memory_level","CDNA 2 L2 cache","draft","Physical instance count and aggregate capacity vary by product configuration."
"COMP-M2NA-CDNA3-CU","OBJ-AMD-CDNA3-ARCH","","control","control","CDNA 3 Compute Unit","draft","Architecture organization within an XCD."
"COMP-M2NA-CDNA3-MATRIX","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","compute","matrix","CDNA 3 Matrix Core","draft","Supports dense and structured-sparse MFMA paths."
"COMP-M2NA-CDNA3-VECTOR","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","compute","vector","CDNA 3 vector SIMD units","draft","Child of COMP-M2NA-CDNA3-CU and owner of PPATH-M2NA-CDNA3-VECTOR. Vector formats are grouped through that precision path."
"COMP-M2NA-CDNA3-SCALAR","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","compute","scalar","CDNA 3 scalar unit","draft","Child of COMP-M2NA-CDNA3-CU; its structural role is covered by FACT-M2NA-CDNA3-CU-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-CDNA3-LDST","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","data_movement","load_store","CDNA 3 load-store path","draft","Child of COMP-M2NA-CDNA3-CU; its load-store role is covered by FACT-M2NA-CDNA3-CU-EXEC and links CU execution to L1/LDS organization."
"COMP-M2NA-CDNA3-LDS","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","memory","memory_level","CDNA 3 Local Data Share","draft","64 KiB per CU software-managed scratchpad."
"COMP-M2NA-CDNA3-L1","OBJ-AMD-CDNA3-ARCH","COMP-M2NA-CDNA3-CU","memory","memory_level","CDNA 3 L1 vector data cache","draft","32 KiB per CU with 128-byte cache line."
"COMP-M2NA-CDNA3-L2","OBJ-AMD-CDNA3-ARCH","","memory","memory_level","CDNA 3 per-XCD L2 cache","draft","4 MiB per XCD and 2 KiB per clock read throughput. Up-to-eight-XCD aggregate is product configuration and excluded."
"COMP-M2NA-CDNA3-ICACHE","OBJ-AMD-CDNA3-ARCH","","memory","memory_level","CDNA 3 Infinity Cache","draft","Memory-side cache on IOD. Product aggregate capacity and bandwidth are not promoted."
"COMP-M2NA-CDNA4-CU","OBJ-AMD-CDNA4-ARCH","","control","control","CDNA 4 Compute Unit","draft","Architecture organization within an XCD."
"COMP-M2NA-CDNA4-MATRIX","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","compute","matrix","CDNA 4 Matrix Core","draft","Includes OCP microscaling and structured-sparse paths."
"COMP-M2NA-CDNA4-VECTOR","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","compute","vector","CDNA 4 vector SIMD units","draft","Child of COMP-M2NA-CDNA4-CU and owner of the FP16, FP32 and FP64 vector precision paths that carry the per-CU throughput facts."
"COMP-M2NA-CDNA4-SCALAR","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","compute","scalar","CDNA 4 scalar unit","draft","Child of COMP-M2NA-CDNA4-CU; its structural role is covered by FACT-M2NA-CDNA4-CU-EXEC. No standalone throughput value is asserted."
"COMP-M2NA-CDNA4-TRANS","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","special_function","special_function","CDNA 4 transcendental path","draft","General transcendental rate is doubled relative to CDNA 3 and is cited for softmax and attention support."
"COMP-M2NA-CDNA4-CONVERT","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","special_function","format_conversion","CDNA 4 data-format conversion instructions","draft","Dedicated instruction support. No separately countable physical converter is claimed."
"COMP-M2NA-CDNA4-LDS","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","memory","memory_level","CDNA 4 Local Data Share","draft","160 KiB per CU with 256-byte-per-clock read bandwidth and direct loads from L1."
"COMP-M2NA-CDNA4-L1","OBJ-AMD-CDNA4-ARCH","COMP-M2NA-CDNA4-CU","memory","memory_level","CDNA 4 L1 vector data cache","draft","32 KiB per CU with 128-byte lines and 64-way associativity."
"COMP-M2NA-CDNA4-L2","OBJ-AMD-CDNA4-ARCH","","memory","memory_level","CDNA 4 per-XCD L2 cache","draft","4 MiB, 16 channels, each channel reads 128 bytes and writes 64 bytes per cycle."
"COMP-M2NA-CDNA4-ICACHE","OBJ-AMD-CDNA4-ARCH","","memory","memory_level","CDNA 4 Infinity Cache","needs_resolution","Organization is described at architecture level but aggregate capacity remains coupled to an eight-stack product implementation."
"COMP-M2NA-CDNA5-WGP","OBJ-AMD-CDNA5-ARCH","","control","control","CDNA 5 Work Group Processor","draft","Wave32 replaces Wave64. MI455X active-WGP total is not promoted."
"COMP-M2NA-CDNA5-MATRIX","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","compute","matrix","CDNA 5 Wave Matrix Multiply Accumulate path","draft","WMMA and sparse SWMMAC programming paths are documented by the July 2026 ISA."
"COMP-M2NA-CDNA5-VECTOR","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","compute","vector","CDNA 5 32-thread SIMD units","draft","Four SIMD units per WGP, each able to start a new 32-thread operation every clock."
"COMP-M2NA-CDNA5-SCALAR","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","compute","scalar","CDNA 5 scalar units","draft","Four scalar units per WGP share a constant cache."
"COMP-M2NA-CDNA5-TRANS","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","special_function","special_function","CDNA 5 transcendental path","draft","Adds tanh and doubles existing transcendental instruction throughput relative to MI355X."
"COMP-M2NA-CDNA5-TDM","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","data_movement","dma","CDNA 5 Tensor Data Mover","draft","Per-WGP asynchronous tensor mover with up-to-5D descriptors, multicast and direct DRAM-to-LDS transfers."
"COMP-M2NA-CDNA5-LDS","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","memory","memory_level","CDNA 5 Local Data Share","draft","320 KiB per WGP software-managed storage."
"COMP-M2NA-CDNA5-VCACHE","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","memory","memory_level","CDNA 5 WGP vector cache","draft","64 KiB per WGP using the LDS SRAM with separate tag memory."
"COMP-M2NA-CDNA5-CCACHE","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","memory","memory_level","CDNA 5 WGP constant cache","draft","16 KiB per WGP."
"COMP-M2NA-CDNA5-ICACHE","OBJ-AMD-CDNA5-ARCH","COMP-M2NA-CDNA5-WGP","memory","memory_level","CDNA 5 WGP instruction cache","draft","64 KiB per WGP."
