"domain","field_id","target_kind","target_id_or_candidate","value_or_status","condition_scope","evidence_source_ids_or_candidates","decision","directness","rationale"
"memory","FIELD-MEM-GRANULARITY","software_binding","A100 async-copy and L2 residency controls","4/8/16-byte cp.async sizes; A100 2.5 MB L2 set-aside increment","sm_80/CUDA 11 for copy; A100 40 MB L2 and MIG-off for 2.5 MB","CUDA C++ Programming Guide 11.x candidate;SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","software_target_or_A100_enabled","These are API/product control granularities, not a universal cache-line or transaction size."
"memory","FIELD-MEM-INSTANCE-COUNT","component_candidate","GA100 SM register-file partitions","4 register-file instances per SM processing blocks","GA100 Figure 7; per SM","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Do not turn A100 L2 slices or 2024 resource groups into full-GA100 instance counts."
"memory","FIELD-MEM-LATENCY","measurement_subject_A100","A100 product on GA100; exact SKU unresolved","L2 200 cycles; L1 33 cycles; shared load/store 23/19 cycles","pointer chasing or dependent shared access; cache operator; one GPU; frequency/software not reported","CAND-R1-GA100-05","accept_conditional_observation","third_party_measured","Canonical field unit is seconds while source reports cycles; formal import requires unit-contract resolution."
"memory","FIELD-MEM-LOCALITY-SCOPE","component_existing_or_repaired","COMP-M2NA-AMPERE-REG and COMP-M2NA-AMPERE-L1SMEM","core","Ampere architecture; per-SM component scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Use the registered enum and do not aggregate per-instance capacity to a whole-die shared pool."
"memory","FIELD-MEM-MANAGEMENT","component_existing_or_repaired","COMP-M2NA-AMPERE-L1SMEM","mixed","Ampere combined L1/shared-memory mechanism","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Use the registered enum for the combined hardware-cache and configurable shared-memory resource."
"memory","FIELD-MEM-MANAGEMENT","component_candidate","A100 enabled L2 residency mechanism","hardware_cache","A100 product; CUDA 11; MIG-disabled set-aside; MPS startup-only size control","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","accept_conditional_observation","A100_enabled_and_software_bound","The control affects cache persistence policy; numerical set-aside limits remain A100-conditioned."
"memory","FIELD-MEM-NAME","component_candidate","GA100 register file, combined L1 data cache/shared memory, L2 and memory-controller candidates","source-native level names","full GA100 direct names where stated; A100-only levels flagged","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_direct","direct_GA100_statement","Create distinct components and keep the A100 L2 capacity outside the unconditional die value."
"memory","FIELD-MEM-POOLING-MODE","component_candidate","A100 two-partition L2","logically_shared_distributed","A100 full-GPU mode; partitioned physical implementation; MIG separate","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-03","accept_conditional_observation","A100_enabled_only","Use the registered enum. Two physical partitions are not two independently allocatable pools."
"memory","FIELD-MEM-PORTS","component_candidate","GA100 register/L1/shared/L2 components","not_found","physical/logical ports and scope required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-05","register_not_found_after_search_log","gap_after_planned_reading","Scheduler, crossbar and memory-controller labels do not disclose port counts."
"memory","FIELD-MEM-READ-BW","measurement_subject_A100","A100 SXM4 80GB product memory path","approximately 1400 GB/s at 256-byte random warp reads and 1600 GB/s at 512-byte random warp reads","A100 SXM4 80GB; random coalesced reads; software/frequency/statistics incomplete","CAND-R1-GA100-06","accept_conditional_observation","third_party_measured","Product-level approximate observations only; no GA100 die nameplate or sustained bandwidth."
"memory","FIELD-MEM-READ-TRANSFER-PER-CYCLE","component_candidate","A100 enabled L2","5120 B/clk read","A100 L2; clock domain unspecified; not converted to byte/s","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","A100_enabled_only","The value is not an Ampere-generation constant or a full-GA100 direct fact."
"memory","FIELD-MEM-READ-WRITE-MODEL","component_candidate","GA100 register/L1/shared/L2 components","not_found","port direction and duplex relationship required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-05","register_not_found_after_search_log","gap_after_planned_reading","Separate read/write behavior is not sufficiently disclosed."
"memory","FIELD-MEM-USABLE-CAPACITY","software_binding","A100 CC 8.0 shared-memory allocation","163 KB per block after later 11.x correction; 1 KB per SM reserved","A100 CC 8.0; CUDA 11.2.1; per block/SM; opt-in above 48 KB","CUDA C++ Programming Guide 11.2.1 candidate;NVIDIA Ampere Tuning Guide 11.2.1 candidate","accept_conditional_observation","software_target_only","This software-visible allocation is not the full physical 192 KB combined resource and not a whole-die usable capacity."
"memory","FIELD-MEM-VIRTUAL-MEMORY","measurement_subject_A100","A100 SXM4 80GB memory-access path","approximately 64 GB random-access cliff and group-local avoidance observed; group-local TLB is author inference","A100 SXM4 80GB; 128-byte coalesced random read; address/page/software conditions incomplete","CAND-R1-GA100-06","accept_conditional_observation","third_party_measured_plus_author_inference","Separate the direct measurement from the inferred TLB ownership; do not register 14 TLB instances."
"memory","FIELD-MEM-WRITE-BW","component_candidate","GA100 memory components","not_found","direction, scope and performance basis required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;CAND-R1-GA100-05;CAND-R1-GA100-06","register_not_found_after_search_log","gap_after_planned_reading","Compression upper bounds and HBM product labels do not give a GA100 component write bandwidth."
"memory","FIELD-MEM-WRITE-TRANSFER-PER-CYCLE","component_candidate","GA100 memory components","not_found","per-cycle write transfer and clock domain required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-05","register_not_found_after_search_log","gap_after_planned_reading","No qualified per-cycle write transfer was found."
"numerics","FIELD-NUM-ACCUMULATION","precision_path_existing_or_repaired","Ampere Tensor Core precision paths","FP16/BF16/TF32 to FP32; FP16 to FP16; INT8/INT4/Binary to INT32; FP64 to FP64","Ampere architecture; programmer-visible accumulator; path-specific","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Use repaired path-complete facts and do not label them physical accumulator widths."
"numerics","FIELD-NUM-CONVERSION","precision_path_existing_or_repaired","Ampere TF32 and other conversion paths","FP32 input data converted to TF32 for Tensor Core multiplication; surrounding storage remains FP32","Ampere architecture; Tensor Core path","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Keep conversion separate from operand identity and output storage."
"numerics","FIELD-NUM-OPERAND-A","precision_path_existing_or_repaired","Ampere FP16/BF16/TF32/FP64/INT8/INT4/Binary paths","path-specific operand A formats","Ampere architecture; Table 3; one fact per path","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Complete the formal repair and split INT8, INT4 and Binary."
"numerics","FIELD-NUM-OPERAND-B","precision_path_existing_or_repaired","Ampere FP16/BF16/TF32/FP64/INT8/INT4/Binary paths","path-specific operand B formats","Ampere architecture; Table 3; one fact per path","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Missing B facts must be added on architecture precision paths, not the die object."
"numerics","FIELD-NUM-OUTPUT","precision_path_existing_or_repaired","Ampere TF32 and other precision paths","FP32 storage/output around TF32 Tensor Core; other path outputs pending exact source wording","Ampere architecture; distinguish accumulator from stored output","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","reuse_via_architecture","architecture_relation_only","Do not infer output format from the accumulator column when the source does not say so."
"numerics","FIELD-NUM-PHYSICAL-ACCUM","precision_path_existing_or_repaired","Ampere Tensor Core precision paths","not_found","physical internal accumulator width/semantics only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;PTX ISA 7.x candidate;CAND-R1-GA100-05","register_not_found_after_search_log","gap_after_planned_reading","Programmer-visible accumulator types and SASS mnemonics do not disclose physical width."
"numerics","FIELD-NUM-PRODUCT","precision_path_existing_or_repaired","Ampere Tensor Core precision paths","not_found","physical/internal product encoding only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","Input and accumulator formats do not prove product encoding."
"numerics","FIELD-NUM-ROUNDING","precision_path_existing_or_repaired","Ampere Tensor Core precision paths","not_found","path- and instruction-specific rounding mode","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","Do not infer IEEE rounding from format names."
"numerics","FIELD-NUM-SATURATION","precision_path_existing_or_repaired","Ampere integer and floating-point paths","not_found","instruction/path overflow semantics","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","No complete path-specific saturation or overflow rule was established."
"numerics","FIELD-NUM-SCALING-GRANULARITY","precision_path_existing_or_repaired","Ampere quantized precision paths","not_found","hardware scaling granularity only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","Library quantization scale choices are not a disclosed GA100 hardware granularity."
"numerics","FIELD-NUM-SCALING-MODE","precision_path_existing_or_repaired","Ampere quantized precision paths","not_found","hardware scaling mode only","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","No per-tensor/per-block hardware scaling mode was established."
"numerics","FIELD-NUM-SPARSITY","precision_path_existing_or_repaired","Ampere sparse MMA precision paths","structured_sparse","Ampere architecture; PTX 7.1+; sm_80+; FP16/BF16 2:4; TF32 1:2; INT8 2:4; INT4 pair-wise 4:8; datatype and instruction shape specific","SRC-M2NA-NVIDIA-AMPERE-WP-2020;PTX ISA 7.x candidate","reuse_via_architecture","architecture_relation_only","Use the registered enum and keep the pattern in the condition. Do not claim runtime pruning."
"numerics","FIELD-NUM-SUBNORMAL","precision_path_existing_or_repaired","Ampere floating-point precision paths","not_found","path- and instruction-specific subnormal handling","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;PTX ISA 7.x candidate","register_not_found_after_search_log","gap_after_planned_reading","No complete source-backed subnormal rule was established."
"physical","FIELD-PHY-CLOCK","object","OBJ-NVIDIA-GA100-DIE","not_found","full GA100 die or explicit clock domain","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","A100 1.41 GHz boost is a product-performance condition, not a full-design die clock."
"physical","FIELD-PHY-COOLING","object","OBJ-NVIDIA-GA100-DIE","not_applicable","standalone die","A100 product-brief candidates;CAND-R1-GA100-09","register_not_applicable","out_of_scope","Cooling is specified for cards, modules and systems."
"physical","FIELD-PHY-DIE-AREA","object","OBJ-NVIDIA-GA100-DIE","826 mm2","per die","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","accept_direct","direct_GA100_statement","Whitepaper direct GA100 wording and ISSCC A100-die identity chain agree."
"physical","FIELD-PHY-DIE-COUNT","object","OBJ-NVIDIA-GA100-DIE","pending_verification","physical design; do not infer count=1 merely from object type","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","keep_pending_verification","subject_not_explicit","Die photo and naming suggest a monolithic die but a direct atomic count statement has not been frozen."
"physical","FIELD-PHY-FORM-FACTOR","object","OBJ-NVIDIA-GA100-DIE","not_applicable","standalone die","SRC-M2NA-NVIDIA-AMPERE-WP-2020;A100 product-brief candidates","register_not_applicable","out_of_scope","SXM4 and PCIe are module/card forms."
"physical","FIELD-PHY-FOUNDRY","object","OBJ-NVIDIA-GA100-DIE","TSMC","GA100 die","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","accept_direct","direct_GA100_statement","Direct first-party physical-implementation evidence."
"physical","FIELD-PHY-HBM-INTERFACE","object","OBJ-NVIDIA-GA100-DIE","pending_verification","full GA100 die; total interface width requires direct statement","SRC-M2NA-NVIDIA-AMPERE-WP-2020","keep_pending_verification","direct_controller_count_but_derived_total","Twelve 512-bit memory controllers may be recorded as components; do not silently derive a 6144-bit total for this field."
"physical","FIELD-PHY-HBM-STACKS","object","OBJ-NVIDIA-GA100-DIE","not_applicable","die object; HBM stacks are external package/board resources","SRC-M2NA-NVIDIA-AMPERE-WP-2020","register_not_applicable","out_of_scope","Full-GA100 six HBM sites/stacks and A100 five active stacks are not die-contained memory."
"physical","FIELD-PHY-INTERPOSER","object","OBJ-NVIDIA-GA100-DIE","not_applicable","die object","SRC-M2NA-NVIDIA-AMPERE-WP-2020;A100 product-brief candidates","register_not_applicable","out_of_scope","Interposer or substrate belongs to package/module modeling."
"physical","FIELD-PHY-PACKAGE","object","OBJ-NVIDIA-GA100-DIE","not_applicable","die object","SRC-M2NA-NVIDIA-AMPERE-WP-2020;A100 product-brief candidates","register_not_applicable","out_of_scope","Package style is not a property of the frozen bare-die object."
"physical","FIELD-PHY-POWER","object","OBJ-NVIDIA-GA100-DIE","not_found","die-only power with mode and limit type","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","register_not_found_after_search_log","gap_after_planned_reading","A100 250/300/400 W values are card/module power."
"physical","FIELD-PHY-PROCESS","object","OBJ-NVIDIA-GA100-DIE","TSMC 7 nm N7","GA100 die","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","accept_direct","direct_GA100_statement","Use the original N7 label and keep foundry in its own field."
"physical","FIELD-PHY-TRANSISTORS","object","OBJ-NVIDIA-GA100-DIE","54.2 billion","per die; whitepaper precision retained","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02","accept_direct","direct_GA100_statement","ISSCC 54B is a rounded assertion, not a separate conflict."
"reliability","FIELD-RAS-CAPABILITY","object","OBJ-NVIDIA-GA100-DIE","error containment; row remapping; dynamic page offlining","GA100 support matrix; row remap crosses GPU/HBM/reset; DPO includes driver","NVIDIA GPU Memory Error Management June 2023 candidate;NVIDIA GPU Memory Error Management R595 candidate","accept_direct","direct_GA100_support_matrix","Split mechanisms and conditions instead of storing a generic supports-RAS sentence."
"reliability","FIELD-RAS-CHECKPOINT-RESTART","object","OBJ-NVIDIA-GA100-DIE","pending_verification","MIG/vGPU migration or checkpoint product, API, version and state boundary required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;NVIDIA MIG User Guide candidate","keep_pending_verification","concept_only","The 2020 MIG Migration description does not prove delivered general checkpoint/restart or live migration."
"reliability","FIELD-RAS-CORRECTION-REPLAY","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","packet replay","NVLink 3 link scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","Link packet replay must not become compute replay or job restart."
"reliability","FIELD-RAS-CORRECTION-REPLAY","object_plus_external_memory","GA100-based A100 framebuffer/HBM path","row remapping with spare HBM/DRAM rows","GA100 support; reset required; InfoROM/driver/service process participates","NVIDIA GPU Memory Error Management June 2023 candidate","accept_conditional_observation","hardware_software_external_memory_combination","Do not describe row remapping as a pure on-die autonomous repair."
"reliability","FIELD-RAS-ECC","object_plus_external_memory","A100 enabled memory subsystem on GA100","SECDED for HBM2, L2, L1 and all SM register files","A100 enabled implementation; HBM external; cache/register on die","SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","A100_enabled_only","The source does not state a full-GA100 all-state ECC map."
"reliability","FIELD-RAS-ERROR-DETECTION","link_existing_or_repaired","LINK-M2NA-AMPERE-NVLINK3","link-level error detection","NVLink 3 link scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020","reuse_via_architecture","architecture_relation_only","ISSCC no-FEC BER is PHY context, not the detector mechanism itself."
"reliability","FIELD-RAS-ERROR-DETECTION","software_binding","GA100 dynamic page offlining flow","driver locates framebuffer UCE and marks the page unusable","GA100 device plus NVIDIA driver; framebuffer UCE","NVIDIA GPU Memory Error Management June 2023 candidate","accept_conditional_observation","software_target_only","The public document does not disclose detector circuit, page size or firmware division."
"reliability","FIELD-RAS-FAULT-ISOLATION","object","OBJ-NVIDIA-GA100-DIE","error containment for uncorrectable ECC errors","contained UCE; rare uncontained UCE retained","NVIDIA GPU Memory Error Management June 2023 candidate","accept_direct","direct_GA100_support_matrix","Keep the uncontained-error exception so containment is not stated as absolute."
"reliability","FIELD-RAS-FAULT-ISOLATION","software_binding","A100 MIG GPU Instance","GI-level memory path and fault isolation","A100 MIG product/profile; vendor-claimed/documented; CI scope narrower","CAND-R1-GA100-10;NVIDIA MIG User Guide candidate snapshot","accept_conditional_observation","software_target_only","Do not claim complete CI isolation or a quantitative error-coverage guarantee."
"reliability","FIELD-RAS-PROTECTION-SCOPE","object_plus_external_memory","GA100/A100 memory and MIG paths","L1/L2/register SECDED; HBM SECDED; GI path isolation; framebuffer DPO","split by on-die, HBM, link and software-managed scope","SRC-M2NA-NVIDIA-AMPERE-WP-2020;NVIDIA GPU Memory Error Management June 2023 candidate;NVIDIA MIG User Guide candidate","accept_conditional_observation","mixed_directness","No source supports a blanket all-chip protection statement."
"reliability","FIELD-RAS-RECOVERY","object_plus_external_memory","GA100 row-remap and DPO recovery flow","affected application termination; page offlining; service-window reset; persistent row remap; page reclamation","contained UCE; driver; HBM spare row; reset/service window","NVIDIA GPU Memory Error Management June 2023 candidate","accept_conditional_observation","hardware_software_external_memory_combination","Store the process chain and the conditions rather than independent unconditional die capabilities."
"reliability","FIELD-RAS-SILENT-DATA-ERROR","object","OBJ-NVIDIA-GA100-DIE","not_found","compute datapath SDC detection/mitigation","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-02;NVIDIA GPU Memory Error Management candidate","register_not_found_after_search_log","gap_after_planned_reading","Memory ECC and link replay do not establish Tensor/CUDA Core silent-error coverage."
"reliability","FIELD-RAS-TELEMETRY-BIST","software_binding","A100/GA100 driver, NVML, nvidia-smi, SMBPBI and InfoROM","XID and remapped-row telemetry documented","A100 device; driver/firmware/platform version; interface-specific counters","NVIDIA GPU Memory Error Management June 2023 candidate;R450 release-notes candidate","accept_conditional_observation","software_target_only","Telemetry is documented; counter meanings and interface versions must be retained."
"reliability","FIELD-RAS-TELEMETRY-BIST","object","OBJ-NVIDIA-GA100-DIE","not_found","on-die BIST structure only","NVIDIA GPU Memory Error Management candidate;SRC-M2NA-NVIDIA-AMPERE-WP-2020","register_not_found_after_search_log","gap_after_planned_reading","Field Diagnostic and RMA policy do not prove die-internal BIST."
"relationship","FIELD-REL-QUANTITY","object_relation","OREL-NVIDIA-GA100-IMPLEMENTS-AMPERE","not_applicable","implements_architecture relation has no meaningful child-instance quantity","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CAND-R1-GA100-10","register_not_applicable","out_of_scope","Do not create quantity=1 merely because one architecture relation is currently modeled."
"software","FIELD-SW-CHIP-BOUND-SCHEDULING","software_binding","A100 MIG GI/CI and sm_80 CUDA execution","GI/CI resource management and documented context scheduling boundaries","A100 product; MIG profile; guide/driver version; public machine model only","NVIDIA MIG User Guide candidate;SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","accept_conditional_observation","software_target_only","Do not infer queue structure, fairness, preemption latency or serving policy."
"software","FIELD-SW-COMMUNICATION-LIBRARY","software_binding","A100 MIG software stack","pending_verification","guide/driver/product version required; current NCCL/P2P limitations not permanent hardware facts","NVIDIA MIG User Guide candidate","keep_pending_verification","dynamic_software_state","Freeze a version before recording same-GPU P2P, cross-GPU limits or current NCCL support."
"software","FIELD-SW-COMPILER","software_binding","GA100/A100 sm_80 software target","CUDA 11.x toolchain and PTX JIT/native target support documented","CUDA Toolkit revision; sm_80; no runnable test in this work package","CUDA C++ Programming Guide 11.x candidate;Ampere Compatibility Guide candidate","accept_conditional_observation","software_target_only","Documented compiler/target support is distinct from framework or application validation."
"software","FIELD-SW-CUSTOM-OPERATOR","object","OBJ-NVIDIA-GA100-DIE","not_found","chip-bound custom-op or kernel extension interface beyond generic CUDA programming","CUDA C++ Programming Guide 11.x candidate;SRC-M2NA-NVIDIA-AMPERE-WP-2020","register_not_found_after_search_log","gap_after_planned_reading","Generic CUDA kernels are covered by programming-model facts and do not prove a separate custom-operator framework."
"software","FIELD-SW-DYNAMIC-SHAPE","object","OBJ-NVIDIA-GA100-DIE","not_found","compiler/runtime dynamic-shape support bound to GA100","CUDA C++ Programming Guide 11.x candidate;SRC-M2NA-NVIDIA-AMPERE-WP-2020","register_not_found_after_search_log","gap_after_planned_reading","No chip-specific dynamic-shape evidence was found."
"software","FIELD-SW-FRAMEWORK","object","OBJ-NVIDIA-GA100-DIE","pending_verification","framework, version, backend and hardware scope required","none completed for cuDNN/PyTorch/JAX/TensorRT","keep_pending_verification","search_not_started_for_field","Whitepaper benchmark context cannot substitute a framework support matrix."
"software","FIELD-SW-OPERATOR-LIBRARY","software_binding","GA100/A100 CUDA library stack","pending_verification","library name/version and hardware scope required","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","keep_pending_verification","partial_context_only","Cooperative Groups and cuSOLVER examples do not complete a chip-bound operator-library inventory."
"software","FIELD-SW-PROGRAMMING-MODEL","object_and_architecture_relation","OBJ-NVIDIA-GA100-DIE via OBJ-NVIDIA-AMPERE-ARCH","CUDA 11 and PTX 7.x targeting Compute Capability 8.0/sm_80","Ampere mechanism; A100=CC 8.0 binding; release-specific API limitations","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate;PTX ISA 7.x candidate","reuse_via_architecture","architecture_relation_only","Keep the hardware target, software version and support maturity separate."
"software","FIELD-SW-PROGRAMMING-MODEL","software_binding","ISSCC async barrier software-version statement","conflicting_unresolved","ISSCC says CUDA 8.0; official developer docs say CUDA 11.0/PTX 7.0 for split barrier and async copy","CAND-R1-GA100-02;CUDA C++ Programming Guide 11.0 candidate;PTX ISA 7.0 candidate","keep_conflicting_unresolved","conflict_candidate","Do not accept CUDA 8.0; a suspected Compute Capability 8.0 typo remains an inference."
"software","FIELD-SW-QUANTIZATION-TOOL","object","OBJ-NVIDIA-GA100-DIE","not_found","tool name/version and GA100 binding","SRC-M2NA-NVIDIA-AMPERE-WP-2020;CUDA C++ Programming Guide 11.x candidate","register_not_found_after_search_log","gap_after_planned_reading","Format support and conversion instructions do not establish a quantization/calibration tool."
"software","FIELD-SW-RUNTIME","software_binding","A100/GA100 CUDA and MIG runtime","CUDA 11.x and NVIDIA driver/NVML management interfaces documented","software revision, A100 product and MIG mode required","CUDA C++ Programming Guide 11.x candidate;NVIDIA MIG User Guide candidate;R450 release-notes candidate","accept_conditional_observation","software_target_only","Do not write a moving driver table as an unconditional die property."
"software","FIELD-SW-RUNTIME","software_binding","A100/A30 minimum driver from current MIG guide","conflicting_unresolved","current guide table appears row-swapped relative to H100/H200 and contradicts A100 examples","NVIDIA MIG User Guide candidate snapshot;NVIDIA release-notes candidates","keep_conflicting_unresolved","conflict_candidate","No minimum driver value should be frozen until an official historical matrix resolves the anomaly."
"software","FIELD-SW-SUPPORT-MATURITY","software_binding","GA100/A100 CUDA 11 and PTX 7.x support","documented_supported","official API/ISA documentation; async copy experimental in CUDA 11.0; no run or benchmark verification in this work package","CUDA C++ Programming Guide 11.x candidate;PTX ISA 7.x candidate","accept_conditional_observation","software_target_only","Do not promote interface documentation to runnable_verified or benchmarked."
"virtualization","FIELD-VIRT-MULTI-TENANCY","software_binding","GA100-based A100/A30 MIG products","GI physical resource partitioning and MIG-backed deployment documented","product/profile/driver/guide version required; GI and CI boundaries separated","CAND-R1-GA100-10;NVIDIA MIG User Guide candidate snapshot","accept_conditional_observation","direct_GA100_mapping_plus_product_condition","A100 and A30 map to GA100 but expose different maximum instance counts."
"virtualization","FIELD-VIRT-PARTITIONING","software_binding","GA100-based A100/A30 MIG products","GI isolates SM path, crossbar port, L2 bank, memory controller and DRAM path; CI subdivides SM and shares parent-GI memory/engines","MIG mode; specific product/profile; software version; no full-die max inferred","CAND-R1-GA100-10;NVIDIA MIG User Guide candidate snapshot;SRC-M2NA-NVIDIA-AMPERE-WP-2020","accept_conditional_observation","direct_GA100_mapping_plus_product_condition","Exclude 7-way/4-way and profile capacities from unconditional GA100 facts."
"virtualization","FIELD-VIRT-PREEMPTION-QOS","software_binding","A100 MIG GPU Instance","vendor-claimed/documented memory QoS and predictable throughput/latency; preemption details not found","GI scope; product/profile/guide version; no numerical guarantee","NVIDIA MIG User Guide candidate snapshot;CAND-R1-GA100-02","accept_conditional_observation","software_target_only","Do not extend GI QoS to CI, MPS clients or a numeric latency/bandwidth guarantee."
