"fact_id","source_id","claim_role","source_locator","raw_value_text","raw_value_number","raw_unit"
"FACT-M2NA-CDNA4-L2-READ","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","","128","B per cycle"
"FACT-M2NA-CDNA4-L2-WRITE","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","","64","B per cycle"
"FACT-M2NA-CDNA4-L2-CONSISTENCY","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, L1/L2 paragraph","fully coherent L2; writeback and write-allocate policy","",""
"FACT-M2NA-CDNA4-SPARSE-LEVEL","SRC-M2NA-AMD-CDNA4-ISA","architecture_mechanism","PDF pp.67-68, sparse MFMA section and opcode table","V_SMFMAC family of instructions","",""
"FACT-M2NA-CDNA4-SOFTMAX-LEVEL","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, activation and transcendental paragraph","softmax is the most common activation function; transcendental rates increased by 2x","",""
"FACT-M2NA-CDNA4-SOFTMAX-DETAIL","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, activation and transcendental paragraph","softmax is the most common activation function; transcendental rates increased by 2x","",""
"FACT-M2NA-CDNA4-CONVERT-LEVEL","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.9, activation and conversion paragraph","data conversion instructions","",""
"FACT-M2NA-CDNA4-IF-PROTOCOL","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF p.10, memory-hierarchy opening paragraph","AMD Infinity Fabric network; shared memory hierarchy resides in the IODs","",""
"FACT-M2NA-CDNA4-SW","SRC-M2NA-AMD-CDNA4-WP","architecture_mechanism","PDF pp.16-17, software ecosystem section","AMD ROCm ecosystem; JAX and PyTorch; vLLM and SGLang; Triton language","",""
"FACT-M2NA-CDNA5-WGP-EXEC","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.6, new WGP design paragraph","Wave32 solution; four 32-thread SIMD execution units; four scalar execution units sharing a constant cache","",""
"FACT-M2NA-CDNA5-VECTOR-COUNT","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.6, new WGP design paragraph","","4","count"
"FACT-M2NA-CDNA5-VECTOR-WIDTH","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.6, new WGP design paragraph","","32","threads per clock period"
"FACT-M2NA-CDNA5-SCALAR-COUNT","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.6, new WGP design paragraph","","4","count"
"FACT-M2NA-CDNA5-MATRIX-EXEC","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF pp.105-106, section 7.12 Wave Matrix Multiply Accumulate","WMMA/SWMMAC","",""
"FACT-M2NA-CDNA5-FP4-A","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.472, V_WMMA_F32_32X16X128_F4 description","FP4 float format","",""
"FACT-M2NA-CDNA5-FP4-ACC","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.472, V_WMMA_F32_32X16X128_F4 description","single-precision float format","",""
"FACT-M2NA-CDNA5-FP4-SCALE","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.473, V_WMMA_SCALE_F32_16X16X128_F8F6F4 description","block size of 32","",""
"FACT-M2NA-CDNA5-FP4-GRAN","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.7, Optimized Compute for AI, first paragraph","Blocks sharing a common scale factor may now be 16 or 32 elements in size.","",""
"FACT-M2NA-CDNA5-FP4-ROUND","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.472, V_WMMA_F32_32X16X128_F4 Notes","Round toward nearest even semantics","",""
"FACT-M2NA-CDNA5-FP8-A","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF pp.468-470, FP8/BF8 WMMA instruction variants","V_WMMA_F32_16X16X128_FP8_BF8","",""
"FACT-M2NA-CDNA5-FP8-ACC32","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.468, V_WMMA_F32_16X16X128_FP8_FP8 description","single-precision float format","",""
"FACT-M2NA-CDNA5-FP8-ACC16","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.471, V_WMMA_F16_16X16X128_BF8_FP8 description","half-precision float format","",""
"FACT-M2NA-CDNA5-INT8-A","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.467, V_SWMMAC_I32_16X16X128_IU8 description","signed or unsigned 8-bit integer format","",""
"FACT-M2NA-CDNA5-INT8-ACC","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.467, V_SWMMAC_I32_16X16X128_IU8 description","signed 32-bit integer format","",""
"FACT-M2NA-CDNA5-SPARSE-MODE","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF pp.466-467, V_SWMMAC sparse-matrix descriptions","sparse matrix","",""
"FACT-M2NA-CDNA5-SPARSE-LEVEL","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.467, V_SWMMAC sparse matrix opcode","V_SWMMAC_I32_16X16X128_IU8","",""
"FACT-M2NA-CDNA5-SPARSE-DETAIL","SRC-M2NA-AMD-CDNA5-ISA","architecture_mechanism","PDF p.467, V_SWMMAC_I32_16X16X128_IU8 description","2 out of every 4 elements on the K axis of matrix A are zero","",""
"FACT-M2NA-CDNA5-VBF16-A","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.7, Optimized Compute for AI, second paragraph","native support for the BF16 vector data type","",""
"FACT-M2NA-CDNA5-TRANS-EXEC","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.7, Optimized Compute for AI, second paragraph","new transcendental operation tanh; Existing transcendental ops have twice the throughput","",""
"FACT-M2NA-CDNA5-TDM-EXEC","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, Tensor Data Mover paragraph","Tensor Data Mover (TDM) unit; tensors of up to 5 dimensions; executed asynchronously","",""
"FACT-M2NA-CDNA5-TDM-DMA","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, Tensor Data Mover paragraph","Multi-cast load operations; transferred directly between LDS scratchpad and DRAM","",""
"FACT-M2NA-CDNA5-LDS-CAP","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, LDS and vector-cache paragraph","","320","KB per WGP"
"FACT-M2NA-CDNA5-LDS-MGMT","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, Tensor Data Mover paragraph","LDS scratchpad","",""
"FACT-M2NA-CDNA5-VCACHE-CAP","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, LDS and vector-cache paragraph","","64","KB per WGP"
"FACT-M2NA-CDNA5-VCACHE-MGMT","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, LDS and vector-cache paragraph","operates as the WGP data cache; separate cache tag memory","",""
"FACT-M2NA-CDNA5-CCACHE-CAP","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, WGP cache sentence","","16","KB per WGP"
"FACT-M2NA-CDNA5-ICACHE-CAP","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, WGP cache sentence","","64","KB per WGP"
"FACT-M2NA-CDNA5-SOFTMAX-LEVEL","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.7, Optimized Compute for AI, second paragraph","Existing transcendental ops; activation and softmax","",""
"FACT-M2NA-CDNA5-TDM-LEVEL","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, Tensor Data Mover paragraph","Transfers are defined by descriptors loaded from the SGPR; executed asynchronously to kernel operations","",""
"FACT-M2NA-CDNA5-TDM-DETAIL","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.10, Tensor Data Mover paragraph","tensors of up to 5 dimensions; descriptors; bounds-checked; asynchronously; Multi-cast load operations","",""
"FACT-M2NA-CDNA5-IF-PROTOCOL","SRC-M2NA-AMD-CDNA-LANDING","architecture_mechanism","Fixed HTML snapshot, Unified Fabric and I/O, line 8132","AMD Infinity Fabric technology","",""
"FACT-M2NA-CDNA5-SW","SRC-M2NA-AMD-CDNA5-WP","architecture_mechanism","PDF p.3, ROCm paragraph","AMD ROCm open AI software stack; optimized compilers, runtimes, communication libraries, AI frameworks, and developer tools","",""
"FACT-M2NA-CDNA6-NAME","SRC-M2NA-AMD-CES2026-RELEASE","identity","Fixed HTML snapshot, AMD Instinct MI500 Series paragraph 48","next-generation AMD CDNA 6 architecture","",""
"FACT-M2NA-CDNA6-STATUS","SRC-M2NA-AMD-CES2026-RELEASE","status_version","Fixed HTML snapshot, news highlight 36 and MI500 paragraph 48","previewing; planned to launch in 2027","",""
"FACT-M2NA-CDNA4-DER-FP16-MATRIX-VECTOR","SRC-M2NA-AMD-CDNA4-WP","core_spec","PDF p.8, Table 1, Vector FP16 and Matrix FP16 rows, MI355X column","4096 Matrix FP16 divided by 256 Vector FP16","",""
