"field_id","domain","disposition","formal_record_ids","source_map_decisions","rationale"
"FIELD-SW-CUSTOM-OPERATOR","software","not_found","coverage_only","register_not_found_after_search_log","Generic CUDA kernels are covered by programming-model facts and do not prove a separate custom-operator framework."
"FIELD-SW-DYNAMIC-SHAPE","software","not_found","coverage_only","register_not_found_after_search_log","No chip-specific dynamic-shape evidence was found."
"FIELD-SW-FRAMEWORK","software","pending","coverage_only","keep_pending_verification","Whitepaper benchmark context cannot substitute a framework support matrix."
"FIELD-SW-OPERATOR-LIBRARY","software","pending","coverage_only","keep_pending_verification","Cooperative Groups and cuSOLVER examples do not complete a chip-bound operator-library inventory."
"FIELD-SW-PROGRAMMING-MODEL","software","value","FACT-M2NA-AMPERE-SW|REQ-M2NA-AVAIL-0021","reuse_via_architecture|keep_conflicting_unresolved","Keep the hardware target, software version and support maturity separate. | Do not accept CUDA 8.0, a suspected Compute Capability 8.0 typo remains an inference."
"FIELD-SW-QUANTIZATION-TOOL","software","not_found","coverage_only","register_not_found_after_search_log","Format support and conversion instructions do not establish a quantization/calibration tool."
"FIELD-SW-RUNTIME","software","conditional","coverage_only","accept_conditional_observation|keep_conflicting_unresolved","Do not write a moving driver table as an unconditional die property. | No minimum driver value should be frozen until an official historical matrix resolves the anomaly."
"FIELD-SW-SUPPORT-MATURITY","software","conditional","FACT-R1-GA100-AMPERE-SW-MATURITY|REQ-R1-GA100-AMPERE-SW-MATURITY","accept_conditional_observation","Do not promote interface documentation to runnable_verified or benchmarked."
"FIELD-VIRT-MULTI-TENANCY","virtualization","conditional","coverage_only","accept_conditional_observation","A100 and A30 map to GA100 but expose different maximum instance counts."
"FIELD-VIRT-PARTITIONING","virtualization","conditional","coverage_only","accept_conditional_observation","Exclude 7-way/4-way and profile capacities from unconditional GA100 facts."
"FIELD-VIRT-PREEMPTION-QOS","virtualization","conditional","coverage_only","accept_conditional_observation","Do not extend GI QoS to CI, MPS clients or a numeric latency/bandwidth guarantee."

